S,I,R
2.228400000000000000e+04,2.160000000000000000e+02,0.000000000000000000e+00
2.161400000000000000e+04,8.450000000000000000e+02,4.100000000000000000e+01
2.048600000000000000e+04,1.824000000000000000e+03,1.900000000000000000e+02
1.886500000000000000e+04,3.143000000000000000e+03,4.920000000000000000e+02
1.691500000000000000e+04,4.622000000000000000e+03,9.630000000000000000e+02
1.477100000000000000e+04,6.046000000000000000e+03,1.683000000000000000e+03
1.266800000000000000e+04,7.230000000000000000e+03,2.602000000000000000e+03
1.063800000000000000e+04,8.357000000000000000e+03,3.505000000000000000e+03
8.805000000000000000e+03,9.222000000000000000e+03,4.473000000000000000e+03
7.331000000000000000e+03,9.732000000000000000e+03,5.437000000000000000e+03
6.272000000000000000e+03,1.005000000000000000e+04,6.178000000000000000e+03
5.461000000000000000e+03,1.008800000000000000e+04,6.951000000000000000e+03
5.031000000000000000e+03,9.822000000000000000e+03,7.647000000000000000e+03
4.748000000000000000e+03,9.655000000000000000e+03,8.097000000000000000e+03
4.522000000000000000e+03,9.453000000000000000e+03,8.525000000000000000e+03
4.520000000000000000e+03,9.329000000000000000e+03,8.651000000000000000e+03
4.577000000000000000e+03,9.226000000000000000e+03,8.697000000000000000e+03
4.534000000000000000e+03,9.216000000000000000e+03,8.750000000000000000e+03
4.546000000000000000e+03,9.115000000000000000e+03,8.839000000000000000e+03
4.535000000000000000e+03,9.049000000000000000e+03,8.916000000000000000e+03
4.570000000000000000e+03,9.078000000000000000e+03,8.852000000000000000e+03
4.545000000000000000e+03,9.057000000000000000e+03,8.898000000000000000e+03
4.533000000000000000e+03,8.985000000000000000e+03,8.982000000000000000e+03
4.611000000000000000e+03,8.937000000000000000e+03,8.952000000000000000e+03
4.554000000000000000e+03,9.020000000000000000e+03,8.926000000000000000e+03
4.557000000000000000e+03,9.002000000000000000e+03,8.941000000000000000e+03
4.631000000000000000e+03,8.874000000000000000e+03,8.995000000000000000e+03
4.614000000000000000e+03,8.902000000000000000e+03,8.984000000000000000e+03
4.579000000000000000e+03,9.011000000000000000e+03,8.910000000000000000e+03
4.577000000000000000e+03,9.025000000000000000e+03,8.898000000000000000e+03
4.543000000000000000e+03,8.992000000000000000e+03,8.965000000000000000e+03
4.607000000000000000e+03,8.964000000000000000e+03,8.929000000000000000e+03
4.598000000000000000e+03,8.960000000000000000e+03,8.942000000000000000e+03
4.567000000000000000e+03,9.019000000000000000e+03,8.914000000000000000e+03
4.588000000000000000e+03,8.990000000000000000e+03,8.922000000000000000e+03
4.711000000000000000e+03,8.945000000000000000e+03,8.844000000000000000e+03
4.627000000000000000e+03,9.017000000000000000e+03,8.856000000000000000e+03
4.530000000000000000e+03,8.965000000000000000e+03,9.005000000000000000e+03
4.525000000000000000e+03,8.888000000000000000e+03,9.087000000000000000e+03
4.565000000000000000e+03,8.912000000000000000e+03,9.023000000000000000e+03
4.632000000000000000e+03,8.788000000000000000e+03,9.080000000000000000e+03
4.578000000000000000e+03,8.897000000000000000e+03,9.025000000000000000e+03
4.646000000000000000e+03,8.886000000000000000e+03,8.968000000000000000e+03
4.730000000000000000e+03,8.784000000000000000e+03,8.986000000000000000e+03
4.667000000000000000e+03,8.849000000000000000e+03,8.984000000000000000e+03
4.728000000000000000e+03,8.852000000000000000e+03,8.920000000000000000e+03
4.705000000000000000e+03,8.890000000000000000e+03,8.905000000000000000e+03
4.722000000000000000e+03,8.944000000000000000e+03,8.834000000000000000e+03
4.695000000000000000e+03,9.040000000000000000e+03,8.765000000000000000e+03
4.682000000000000000e+03,9.025000000000000000e+03,8.793000000000000000e+03
4.573000000000000000e+03,9.069000000000000000e+03,8.858000000000000000e+03
4.613000000000000000e+03,8.968000000000000000e+03,8.919000000000000000e+03
4.561000000000000000e+03,8.977000000000000000e+03,8.962000000000000000e+03
4.588000000000000000e+03,9.062000000000000000e+03,8.850000000000000000e+03
4.581000000000000000e+03,9.097000000000000000e+03,8.822000000000000000e+03
4.454000000000000000e+03,9.161000000000000000e+03,8.885000000000000000e+03
4.505000000000000000e+03,9.114000000000000000e+03,8.881000000000000000e+03
4.549000000000000000e+03,9.064000000000000000e+03,8.887000000000000000e+03
4.612000000000000000e+03,9.001000000000000000e+03,8.887000000000000000e+03
4.620000000000000000e+03,8.947000000000000000e+03,8.933000000000000000e+03
4.619000000000000000e+03,8.994000000000000000e+03,8.887000000000000000e+03
4.630000000000000000e+03,8.974000000000000000e+03,8.896000000000000000e+03
4.665000000000000000e+03,8.933000000000000000e+03,8.902000000000000000e+03
4.621000000000000000e+03,8.995000000000000000e+03,8.884000000000000000e+03
4.556000000000000000e+03,8.992000000000000000e+03,8.952000000000000000e+03
4.587000000000000000e+03,8.989000000000000000e+03,8.924000000000000000e+03
4.628000000000000000e+03,8.963000000000000000e+03,8.909000000000000000e+03
4.570000000000000000e+03,9.031000000000000000e+03,8.899000000000000000e+03
4.585000000000000000e+03,9.053000000000000000e+03,8.862000000000000000e+03
4.661000000000000000e+03,8.970000000000000000e+03,8.869000000000000000e+03
4.561000000000000000e+03,8.960000000000000000e+03,8.979000000000000000e+03
4.607000000000000000e+03,8.886000000000000000e+03,9.007000000000000000e+03
4.669000000000000000e+03,8.836000000000000000e+03,8.995000000000000000e+03
4.669000000000000000e+03,8.893000000000000000e+03,8.938000000000000000e+03
4.607000000000000000e+03,8.958000000000000000e+03,8.935000000000000000e+03
4.645000000000000000e+03,9.001000000000000000e+03,8.854000000000000000e+03
4.634000000000000000e+03,8.981000000000000000e+03,8.885000000000000000e+03
4.655000000000000000e+03,8.881000000000000000e+03,8.964000000000000000e+03
4.659000000000000000e+03,8.913000000000000000e+03,8.928000000000000000e+03
4.696000000000000000e+03,8.969000000000000000e+03,8.835000000000000000e+03
4.550000000000000000e+03,9.086000000000000000e+03,8.864000000000000000e+03
4.527000000000000000e+03,8.970000000000000000e+03,9.003000000000000000e+03
4.586000000000000000e+03,8.863000000000000000e+03,9.051000000000000000e+03
4.611000000000000000e+03,8.905000000000000000e+03,8.984000000000000000e+03
4.599000000000000000e+03,8.870000000000000000e+03,9.031000000000000000e+03
4.635000000000000000e+03,8.844000000000000000e+03,9.021000000000000000e+03
4.630000000000000000e+03,8.912000000000000000e+03,8.958000000000000000e+03
4.599000000000000000e+03,9.051000000000000000e+03,8.850000000000000000e+03
4.560000000000000000e+03,9.094000000000000000e+03,8.846000000000000000e+03
4.544000000000000000e+03,9.033000000000000000e+03,8.923000000000000000e+03
4.505000000000000000e+03,8.958000000000000000e+03,9.037000000000000000e+03
4.513000000000000000e+03,8.856000000000000000e+03,9.131000000000000000e+03
4.501000000000000000e+03,8.895000000000000000e+03,9.104000000000000000e+03
4.540000000000000000e+03,8.831000000000000000e+03,9.129000000000000000e+03
4.502000000000000000e+03,8.938000000000000000e+03,9.060000000000000000e+03
4.610000000000000000e+03,8.895000000000000000e+03,8.995000000000000000e+03
4.538000000000000000e+03,8.951000000000000000e+03,9.011000000000000000e+03
4.567000000000000000e+03,8.927000000000000000e+03,9.006000000000000000e+03
4.592000000000000000e+03,8.877000000000000000e+03,9.031000000000000000e+03
4.571000000000000000e+03,8.925000000000000000e+03,9.004000000000000000e+03
4.663000000000000000e+03,8.889000000000000000e+03,8.948000000000000000e+03
4.600000000000000000e+03,8.945000000000000000e+03,8.955000000000000000e+03
4.507000000000000000e+03,8.973000000000000000e+03,9.020000000000000000e+03
4.617000000000000000e+03,8.898000000000000000e+03,8.985000000000000000e+03
4.563000000000000000e+03,8.938000000000000000e+03,8.999000000000000000e+03
4.550000000000000000e+03,8.940000000000000000e+03,9.010000000000000000e+03
4.650000000000000000e+03,8.884000000000000000e+03,8.966000000000000000e+03
4.564000000000000000e+03,8.868000000000000000e+03,9.068000000000000000e+03
4.557000000000000000e+03,8.924000000000000000e+03,9.019000000000000000e+03
4.642000000000000000e+03,8.937000000000000000e+03,8.921000000000000000e+03
4.655000000000000000e+03,8.992000000000000000e+03,8.853000000000000000e+03
4.536000000000000000e+03,9.058000000000000000e+03,8.906000000000000000e+03
4.517000000000000000e+03,9.060000000000000000e+03,8.923000000000000000e+03
4.524000000000000000e+03,9.016000000000000000e+03,8.960000000000000000e+03
4.584000000000000000e+03,8.973000000000000000e+03,8.943000000000000000e+03
4.616000000000000000e+03,8.959000000000000000e+03,8.925000000000000000e+03
4.662000000000000000e+03,8.913000000000000000e+03,8.925000000000000000e+03
4.666000000000000000e+03,8.922000000000000000e+03,8.912000000000000000e+03
4.574000000000000000e+03,8.979000000000000000e+03,8.947000000000000000e+03
4.584000000000000000e+03,8.944000000000000000e+03,8.972000000000000000e+03
4.558000000000000000e+03,8.943000000000000000e+03,8.999000000000000000e+03
4.710000000000000000e+03,8.771000000000000000e+03,9.019000000000000000e+03
4.766000000000000000e+03,8.813000000000000000e+03,8.921000000000000000e+03
4.786000000000000000e+03,8.929000000000000000e+03,8.785000000000000000e+03
4.659000000000000000e+03,8.993000000000000000e+03,8.848000000000000000e+03
4.738000000000000000e+03,8.894000000000000000e+03,8.868000000000000000e+03
4.612000000000000000e+03,8.994000000000000000e+03,8.894000000000000000e+03
4.590000000000000000e+03,8.964000000000000000e+03,8.946000000000000000e+03
4.679000000000000000e+03,8.895000000000000000e+03,8.926000000000000000e+03
4.649000000000000000e+03,8.908000000000000000e+03,8.943000000000000000e+03
4.720000000000000000e+03,8.833000000000000000e+03,8.947000000000000000e+03
4.694000000000000000e+03,8.971000000000000000e+03,8.835000000000000000e+03
4.585000000000000000e+03,9.024000000000000000e+03,8.891000000000000000e+03
4.521000000000000000e+03,9.082000000000000000e+03,8.897000000000000000e+03
4.571000000000000000e+03,9.016000000000000000e+03,8.913000000000000000e+03
4.609000000000000000e+03,8.924000000000000000e+03,8.967000000000000000e+03
4.628000000000000000e+03,8.989000000000000000e+03,8.883000000000000000e+03
4.573000000000000000e+03,8.942000000000000000e+03,8.985000000000000000e+03
4.606000000000000000e+03,8.854000000000000000e+03,9.040000000000000000e+03
4.626000000000000000e+03,8.854000000000000000e+03,9.020000000000000000e+03
4.646000000000000000e+03,8.865000000000000000e+03,8.989000000000000000e+03
4.616000000000000000e+03,8.894000000000000000e+03,8.990000000000000000e+03
4.563000000000000000e+03,8.986000000000000000e+03,8.951000000000000000e+03
4.660000000000000000e+03,8.937000000000000000e+03,8.903000000000000000e+03
4.611000000000000000e+03,9.009000000000000000e+03,8.880000000000000000e+03
4.588000000000000000e+03,8.962000000000000000e+03,8.950000000000000000e+03
4.601000000000000000e+03,8.875000000000000000e+03,9.024000000000000000e+03
4.641000000000000000e+03,8.902000000000000000e+03,8.957000000000000000e+03
4.614000000000000000e+03,8.887000000000000000e+03,8.999000000000000000e+03
4.626000000000000000e+03,8.928000000000000000e+03,8.946000000000000000e+03
4.618000000000000000e+03,9.021000000000000000e+03,8.861000000000000000e+03
4.637000000000000000e+03,9.014000000000000000e+03,8.849000000000000000e+03
4.587000000000000000e+03,9.047000000000000000e+03,8.866000000000000000e+03
4.587000000000000000e+03,8.991000000000000000e+03,8.922000000000000000e+03
4.560000000000000000e+03,8.938000000000000000e+03,9.002000000000000000e+03
4.524000000000000000e+03,8.945000000000000000e+03,9.031000000000000000e+03
4.592000000000000000e+03,8.879000000000000000e+03,9.029000000000000000e+03
4.504000000000000000e+03,8.976000000000000000e+03,9.020000000000000000e+03
4.540000000000000000e+03,8.930000000000000000e+03,9.030000000000000000e+03
4.608000000000000000e+03,8.875000000000000000e+03,9.017000000000000000e+03
4.595000000000000000e+03,8.950000000000000000e+03,8.955000000000000000e+03
4.604000000000000000e+03,9.048000000000000000e+03,8.848000000000000000e+03
4.564000000000000000e+03,8.972000000000000000e+03,8.964000000000000000e+03
4.520000000000000000e+03,8.945000000000000000e+03,9.035000000000000000e+03
4.496000000000000000e+03,8.813000000000000000e+03,9.191000000000000000e+03
4.574000000000000000e+03,8.734000000000000000e+03,9.192000000000000000e+03
4.679000000000000000e+03,8.720000000000000000e+03,9.101000000000000000e+03
4.689000000000000000e+03,8.782000000000000000e+03,9.029000000000000000e+03
4.726000000000000000e+03,8.735000000000000000e+03,9.039000000000000000e+03
4.760000000000000000e+03,8.788000000000000000e+03,8.952000000000000000e+03
4.755000000000000000e+03,8.742000000000000000e+03,9.003000000000000000e+03
4.654000000000000000e+03,8.800000000000000000e+03,9.046000000000000000e+03
4.670000000000000000e+03,8.783000000000000000e+03,9.047000000000000000e+03
4.709000000000000000e+03,8.822000000000000000e+03,8.969000000000000000e+03
4.632000000000000000e+03,8.933000000000000000e+03,8.935000000000000000e+03
4.601000000000000000e+03,8.949000000000000000e+03,8.950000000000000000e+03
4.612000000000000000e+03,8.990000000000000000e+03,8.898000000000000000e+03
4.581000000000000000e+03,8.974000000000000000e+03,8.945000000000000000e+03
4.542000000000000000e+03,8.999000000000000000e+03,8.959000000000000000e+03
4.518000000000000000e+03,8.933000000000000000e+03,9.049000000000000000e+03
4.608000000000000000e+03,8.873000000000000000e+03,9.019000000000000000e+03
4.638000000000000000e+03,8.985000000000000000e+03,8.877000000000000000e+03
4.574000000000000000e+03,9.028000000000000000e+03,8.898000000000000000e+03
4.540000000000000000e+03,9.078000000000000000e+03,8.882000000000000000e+03
4.582000000000000000e+03,8.939000000000000000e+03,8.979000000000000000e+03
4.624000000000000000e+03,8.893000000000000000e+03,8.983000000000000000e+03
4.657000000000000000e+03,8.823000000000000000e+03,9.020000000000000000e+03
4.599000000000000000e+03,8.873000000000000000e+03,9.028000000000000000e+03
4.692000000000000000e+03,8.760000000000000000e+03,9.048000000000000000e+03
4.674000000000000000e+03,8.821000000000000000e+03,9.005000000000000000e+03
4.650000000000000000e+03,8.890000000000000000e+03,8.960000000000000000e+03
4.609000000000000000e+03,8.885000000000000000e+03,9.006000000000000000e+03
4.626000000000000000e+03,8.865000000000000000e+03,9.009000000000000000e+03
4.607000000000000000e+03,8.970000000000000000e+03,8.923000000000000000e+03
4.676000000000000000e+03,8.841000000000000000e+03,8.983000000000000000e+03
4.621000000000000000e+03,8.830000000000000000e+03,9.049000000000000000e+03
4.677000000000000000e+03,8.815000000000000000e+03,9.008000000000000000e+03
4.681000000000000000e+03,8.818000000000000000e+03,9.001000000000000000e+03
4.708000000000000000e+03,8.862000000000000000e+03,8.930000000000000000e+03
4.738000000000000000e+03,8.817000000000000000e+03,8.945000000000000000e+03
4.690000000000000000e+03,8.916000000000000000e+03,8.894000000000000000e+03
