S,I,R
2.228400000000000000e+04,2.160000000000000000e+02,0.000000000000000000e+00
2.182000000000000000e+04,6.140000000000000000e+02,6.600000000000000000e+01
2.111100000000000000e+04,1.141000000000000000e+03,2.480000000000000000e+02
2.015300000000000000e+04,1.837000000000000000e+03,5.100000000000000000e+02
1.891800000000000000e+04,2.700000000000000000e+03,8.820000000000000000e+02
1.754800000000000000e+04,3.536000000000000000e+03,1.416000000000000000e+03
1.613000000000000000e+04,4.366000000000000000e+03,2.004000000000000000e+03
1.457700000000000000e+04,5.152000000000000000e+03,2.771000000000000000e+03
1.317700000000000000e+04,5.853000000000000000e+03,3.470000000000000000e+03
1.189000000000000000e+04,6.452000000000000000e+03,4.158000000000000000e+03
1.087600000000000000e+04,6.733000000000000000e+03,4.891000000000000000e+03
1.015700000000000000e+04,7.009000000000000000e+03,5.334000000000000000e+03
9.478000000000000000e+03,7.289000000000000000e+03,5.733000000000000000e+03
8.888000000000000000e+03,7.347000000000000000e+03,6.265000000000000000e+03
8.469000000000000000e+03,7.465000000000000000e+03,6.566000000000000000e+03
8.269000000000000000e+03,7.452000000000000000e+03,6.779000000000000000e+03
8.075000000000000000e+03,7.485000000000000000e+03,6.940000000000000000e+03
7.998000000000000000e+03,7.369000000000000000e+03,7.133000000000000000e+03
7.863000000000000000e+03,7.380000000000000000e+03,7.257000000000000000e+03
7.825000000000000000e+03,7.405000000000000000e+03,7.270000000000000000e+03
7.725000000000000000e+03,7.413000000000000000e+03,7.362000000000000000e+03
7.772000000000000000e+03,7.329000000000000000e+03,7.399000000000000000e+03
7.845000000000000000e+03,7.255000000000000000e+03,7.400000000000000000e+03
7.926000000000000000e+03,7.243000000000000000e+03,7.331000000000000000e+03
7.967000000000000000e+03,7.352000000000000000e+03,7.181000000000000000e+03
7.956000000000000000e+03,7.312000000000000000e+03,7.232000000000000000e+03
7.941000000000000000e+03,7.277000000000000000e+03,7.282000000000000000e+03
7.971000000000000000e+03,7.276000000000000000e+03,7.253000000000000000e+03
8.022000000000000000e+03,7.230000000000000000e+03,7.248000000000000000e+03
8.001000000000000000e+03,7.220000000000000000e+03,7.279000000000000000e+03
7.987000000000000000e+03,7.271000000000000000e+03,7.242000000000000000e+03
7.872000000000000000e+03,7.383000000000000000e+03,7.245000000000000000e+03
7.906000000000000000e+03,7.484000000000000000e+03,7.110000000000000000e+03
7.818000000000000000e+03,7.405000000000000000e+03,7.277000000000000000e+03
7.821000000000000000e+03,7.392000000000000000e+03,7.287000000000000000e+03
7.789000000000000000e+03,7.342000000000000000e+03,7.369000000000000000e+03
7.809000000000000000e+03,7.381000000000000000e+03,7.310000000000000000e+03
7.930000000000000000e+03,7.266000000000000000e+03,7.304000000000000000e+03
7.820000000000000000e+03,7.379000000000000000e+03,7.301000000000000000e+03
7.763000000000000000e+03,7.325000000000000000e+03,7.412000000000000000e+03
7.736000000000000000e+03,7.365000000000000000e+03,7.399000000000000000e+03
7.831000000000000000e+03,7.312000000000000000e+03,7.357000000000000000e+03
7.926000000000000000e+03,7.275000000000000000e+03,7.299000000000000000e+03
7.744000000000000000e+03,7.386000000000000000e+03,7.370000000000000000e+03
7.799000000000000000e+03,7.344000000000000000e+03,7.357000000000000000e+03
7.798000000000000000e+03,7.414000000000000000e+03,7.288000000000000000e+03
7.774000000000000000e+03,7.361000000000000000e+03,7.365000000000000000e+03
7.770000000000000000e+03,7.398000000000000000e+03,7.332000000000000000e+03
7.813000000000000000e+03,7.508000000000000000e+03,7.179000000000000000e+03
