S,I,R
2.229300000000000000e+04,2.070000000000000000e+02,0.000000000000000000e+00
2.145800000000000000e+04,9.980000000000000000e+02,4.400000000000000000e+01
2.005200000000000000e+04,2.205000000000000000e+03,2.430000000000000000e+02
1.805200000000000000e+04,3.778000000000000000e+03,6.700000000000000000e+02
1.561200000000000000e+04,5.436000000000000000e+03,1.452000000000000000e+03
1.305600000000000000e+04,6.928000000000000000e+03,2.516000000000000000e+03
1.053400000000000000e+04,8.177000000000000000e+03,3.789000000000000000e+03
8.219000000000000000e+03,9.072000000000000000e+03,5.209000000000000000e+03
6.379000000000000000e+03,9.389000000000000000e+03,6.732000000000000000e+03
4.880000000000000000e+03,9.401000000000000000e+03,8.219000000000000000e+03
3.673000000000000000e+03,9.215000000000000000e+03,9.612000000000000000e+03
2.841000000000000000e+03,8.696000000000000000e+03,1.096300000000000000e+04
2.288000000000000000e+03,8.110000000000000000e+03,1.210200000000000000e+04
1.953000000000000000e+03,7.325000000000000000e+03,1.322200000000000000e+04
1.776000000000000000e+03,6.733000000000000000e+03,1.399100000000000000e+04
1.802000000000000000e+03,6.165000000000000000e+03,1.453300000000000000e+04
1.832000000000000000e+03,5.694000000000000000e+03,1.497400000000000000e+04
1.840000000000000000e+03,5.292000000000000000e+03,1.536800000000000000e+04
1.922000000000000000e+03,4.970000000000000000e+03,1.560800000000000000e+04
2.072000000000000000e+03,4.609000000000000000e+03,1.581900000000000000e+04
2.215000000000000000e+03,4.316000000000000000e+03,1.596900000000000000e+04
2.360000000000000000e+03,4.107000000000000000e+03,1.603300000000000000e+04
2.472000000000000000e+03,3.992000000000000000e+03,1.603600000000000000e+04
2.536000000000000000e+03,3.921000000000000000e+03,1.604300000000000000e+04
2.612000000000000000e+03,3.884000000000000000e+03,1.600400000000000000e+04
2.712000000000000000e+03,3.833000000000000000e+03,1.595500000000000000e+04
2.786000000000000000e+03,3.827000000000000000e+03,1.588700000000000000e+04
2.826000000000000000e+03,3.808000000000000000e+03,1.586600000000000000e+04
2.849000000000000000e+03,3.782000000000000000e+03,1.586900000000000000e+04
2.932000000000000000e+03,3.770000000000000000e+03,1.579800000000000000e+04
2.945000000000000000e+03,3.788000000000000000e+03,1.576700000000000000e+04
2.957000000000000000e+03,3.774000000000000000e+03,1.576900000000000000e+04
3.000000000000000000e+03,3.797000000000000000e+03,1.570300000000000000e+04
2.985000000000000000e+03,3.830000000000000000e+03,1.568500000000000000e+04
3.033000000000000000e+03,3.850000000000000000e+03,1.561700000000000000e+04
2.994000000000000000e+03,3.887000000000000000e+03,1.561900000000000000e+04
2.961000000000000000e+03,3.894000000000000000e+03,1.564500000000000000e+04
2.937000000000000000e+03,3.899000000000000000e+03,1.566400000000000000e+04
2.958000000000000000e+03,3.863000000000000000e+03,1.567900000000000000e+04
3.014000000000000000e+03,3.812000000000000000e+03,1.567400000000000000e+04
2.944000000000000000e+03,3.879000000000000000e+03,1.567700000000000000e+04
2.929000000000000000e+03,3.859000000000000000e+03,1.571200000000000000e+04
2.946000000000000000e+03,3.878000000000000000e+03,1.567600000000000000e+04
2.971000000000000000e+03,3.849000000000000000e+03,1.568000000000000000e+04
2.950000000000000000e+03,3.887000000000000000e+03,1.566300000000000000e+04
2.996000000000000000e+03,3.852000000000000000e+03,1.565200000000000000e+04
2.981000000000000000e+03,3.875000000000000000e+03,1.564400000000000000e+04
2.970000000000000000e+03,3.867000000000000000e+03,1.566300000000000000e+04
2.976000000000000000e+03,3.868000000000000000e+03,1.565600000000000000e+04
2.971000000000000000e+03,3.873000000000000000e+03,1.565600000000000000e+04
2.997000000000000000e+03,3.915000000000000000e+03,1.558800000000000000e+04
2.984000000000000000e+03,3.861000000000000000e+03,1.565500000000000000e+04
3.005000000000000000e+03,3.848000000000000000e+03,1.564700000000000000e+04
3.004000000000000000e+03,3.794000000000000000e+03,1.570200000000000000e+04
3.029000000000000000e+03,3.789000000000000000e+03,1.568200000000000000e+04
2.998000000000000000e+03,3.841000000000000000e+03,1.566100000000000000e+04
3.048000000000000000e+03,3.780000000000000000e+03,1.567200000000000000e+04
3.006000000000000000e+03,3.759000000000000000e+03,1.573500000000000000e+04
3.045000000000000000e+03,3.769000000000000000e+03,1.568600000000000000e+04
3.080000000000000000e+03,3.798000000000000000e+03,1.562200000000000000e+04
3.085000000000000000e+03,3.839000000000000000e+03,1.557600000000000000e+04
3.037000000000000000e+03,3.871000000000000000e+03,1.559200000000000000e+04
3.038000000000000000e+03,3.878000000000000000e+03,1.558400000000000000e+04
3.022000000000000000e+03,3.828000000000000000e+03,1.565000000000000000e+04
3.036000000000000000e+03,3.853000000000000000e+03,1.561100000000000000e+04
3.017000000000000000e+03,3.857000000000000000e+03,1.562600000000000000e+04
3.028000000000000000e+03,3.791000000000000000e+03,1.568100000000000000e+04
3.078000000000000000e+03,3.736000000000000000e+03,1.568600000000000000e+04
3.112000000000000000e+03,3.761000000000000000e+03,1.562700000000000000e+04
3.119000000000000000e+03,3.779000000000000000e+03,1.560200000000000000e+04
3.063000000000000000e+03,3.839000000000000000e+03,1.559800000000000000e+04
3.037000000000000000e+03,3.886000000000000000e+03,1.557700000000000000e+04
2.984000000000000000e+03,3.897000000000000000e+03,1.561900000000000000e+04
2.928000000000000000e+03,3.950000000000000000e+03,1.562200000000000000e+04
2.954000000000000000e+03,3.917000000000000000e+03,1.562900000000000000e+04
2.925000000000000000e+03,3.941000000000000000e+03,1.563400000000000000e+04
2.918000000000000000e+03,3.910000000000000000e+03,1.567200000000000000e+04
2.944000000000000000e+03,3.892000000000000000e+03,1.566400000000000000e+04
2.924000000000000000e+03,3.868000000000000000e+03,1.570800000000000000e+04
2.951000000000000000e+03,3.812000000000000000e+03,1.573700000000000000e+04
2.940000000000000000e+03,3.821000000000000000e+03,1.573900000000000000e+04
3.013000000000000000e+03,3.757000000000000000e+03,1.573000000000000000e+04
3.092000000000000000e+03,3.740000000000000000e+03,1.566800000000000000e+04
3.114000000000000000e+03,3.764000000000000000e+03,1.562200000000000000e+04
3.131000000000000000e+03,3.798000000000000000e+03,1.557100000000000000e+04
3.096000000000000000e+03,3.869000000000000000e+03,1.553500000000000000e+04
3.049000000000000000e+03,3.952000000000000000e+03,1.549900000000000000e+04
3.036000000000000000e+03,3.939000000000000000e+03,1.552500000000000000e+04
3.028000000000000000e+03,3.981000000000000000e+03,1.549100000000000000e+04
3.056000000000000000e+03,3.952000000000000000e+03,1.549200000000000000e+04
2.979000000000000000e+03,3.994000000000000000e+03,1.552700000000000000e+04
2.856000000000000000e+03,4.043000000000000000e+03,1.560100000000000000e+04
2.902000000000000000e+03,3.944000000000000000e+03,1.565400000000000000e+04
2.974000000000000000e+03,3.941000000000000000e+03,1.558500000000000000e+04
2.892000000000000000e+03,3.952000000000000000e+03,1.565600000000000000e+04
2.921000000000000000e+03,3.958000000000000000e+03,1.562100000000000000e+04
3.009000000000000000e+03,3.865000000000000000e+03,1.562600000000000000e+04
3.070000000000000000e+03,3.846000000000000000e+03,1.558400000000000000e+04
3.052000000000000000e+03,3.835000000000000000e+03,1.561300000000000000e+04
3.084000000000000000e+03,3.806000000000000000e+03,1.561000000000000000e+04
3.144000000000000000e+03,3.743000000000000000e+03,1.561300000000000000e+04
3.174000000000000000e+03,3.719000000000000000e+03,1.560700000000000000e+04
3.219000000000000000e+03,3.706000000000000000e+03,1.557500000000000000e+04
3.241000000000000000e+03,3.694000000000000000e+03,1.556500000000000000e+04
3.312000000000000000e+03,3.767000000000000000e+03,1.542100000000000000e+04
3.284000000000000000e+03,3.781000000000000000e+03,1.543500000000000000e+04
3.224000000000000000e+03,3.836000000000000000e+03,1.544000000000000000e+04
3.238000000000000000e+03,3.877000000000000000e+03,1.538500000000000000e+04
3.175000000000000000e+03,3.909000000000000000e+03,1.541600000000000000e+04
3.124000000000000000e+03,3.957000000000000000e+03,1.541900000000000000e+04
3.046000000000000000e+03,3.994000000000000000e+03,1.546000000000000000e+04
3.045000000000000000e+03,4.016000000000000000e+03,1.543900000000000000e+04
3.011000000000000000e+03,4.013000000000000000e+03,1.547600000000000000e+04
2.972000000000000000e+03,4.001000000000000000e+03,1.552700000000000000e+04
2.930000000000000000e+03,3.959000000000000000e+03,1.561100000000000000e+04
2.968000000000000000e+03,3.931000000000000000e+03,1.560100000000000000e+04
2.969000000000000000e+03,3.951000000000000000e+03,1.558000000000000000e+04
2.923000000000000000e+03,3.997000000000000000e+03,1.558000000000000000e+04
2.987000000000000000e+03,3.968000000000000000e+03,1.554500000000000000e+04
3.010000000000000000e+03,3.959000000000000000e+03,1.553100000000000000e+04
3.020000000000000000e+03,3.957000000000000000e+03,1.552300000000000000e+04
3.109000000000000000e+03,3.901000000000000000e+03,1.549000000000000000e+04
3.039000000000000000e+03,3.964000000000000000e+03,1.549700000000000000e+04
3.007000000000000000e+03,3.958000000000000000e+03,1.553500000000000000e+04
2.997000000000000000e+03,3.942000000000000000e+03,1.556100000000000000e+04
2.987000000000000000e+03,4.000000000000000000e+03,1.551300000000000000e+04
2.977000000000000000e+03,4.004000000000000000e+03,1.551900000000000000e+04
2.898000000000000000e+03,4.023000000000000000e+03,1.557900000000000000e+04
2.938000000000000000e+03,3.993000000000000000e+03,1.556900000000000000e+04
2.942000000000000000e+03,4.006000000000000000e+03,1.555200000000000000e+04
2.907000000000000000e+03,3.996000000000000000e+03,1.559700000000000000e+04
2.888000000000000000e+03,4.003000000000000000e+03,1.560900000000000000e+04
2.894000000000000000e+03,3.983000000000000000e+03,1.562300000000000000e+04
2.903000000000000000e+03,3.876000000000000000e+03,1.572100000000000000e+04
2.944000000000000000e+03,3.873000000000000000e+03,1.568300000000000000e+04
2.984000000000000000e+03,3.847000000000000000e+03,1.566900000000000000e+04
3.040000000000000000e+03,3.895000000000000000e+03,1.556500000000000000e+04
3.040000000000000000e+03,3.871000000000000000e+03,1.558900000000000000e+04
2.970000000000000000e+03,3.916000000000000000e+03,1.561400000000000000e+04
2.995000000000000000e+03,3.889000000000000000e+03,1.561600000000000000e+04
3.020000000000000000e+03,3.846000000000000000e+03,1.563400000000000000e+04
3.036000000000000000e+03,3.842000000000000000e+03,1.562200000000000000e+04
3.049000000000000000e+03,3.804000000000000000e+03,1.564700000000000000e+04
3.080000000000000000e+03,3.821000000000000000e+03,1.559900000000000000e+04
3.001000000000000000e+03,3.868000000000000000e+03,1.563100000000000000e+04
2.977000000000000000e+03,3.879000000000000000e+03,1.564400000000000000e+04
3.013000000000000000e+03,3.898000000000000000e+03,1.558900000000000000e+04
3.043000000000000000e+03,3.874000000000000000e+03,1.558300000000000000e+04
2.985000000000000000e+03,3.862000000000000000e+03,1.565300000000000000e+04
3.017000000000000000e+03,3.888000000000000000e+03,1.559500000000000000e+04
3.000000000000000000e+03,3.890000000000000000e+03,1.561000000000000000e+04
3.040000000000000000e+03,3.886000000000000000e+03,1.557400000000000000e+04
3.055000000000000000e+03,3.940000000000000000e+03,1.550500000000000000e+04
3.014000000000000000e+03,3.923000000000000000e+03,1.556300000000000000e+04
2.962000000000000000e+03,3.968000000000000000e+03,1.557000000000000000e+04
2.982000000000000000e+03,3.977000000000000000e+03,1.554100000000000000e+04
2.943000000000000000e+03,3.961000000000000000e+03,1.559600000000000000e+04
2.939000000000000000e+03,3.996000000000000000e+03,1.556500000000000000e+04
2.933000000000000000e+03,3.987000000000000000e+03,1.558000000000000000e+04
2.911000000000000000e+03,3.967000000000000000e+03,1.562200000000000000e+04
2.989000000000000000e+03,3.869000000000000000e+03,1.564200000000000000e+04
3.001000000000000000e+03,3.918000000000000000e+03,1.558100000000000000e+04
2.941000000000000000e+03,3.920000000000000000e+03,1.563900000000000000e+04
3.025000000000000000e+03,3.879000000000000000e+03,1.559600000000000000e+04
3.019000000000000000e+03,3.901000000000000000e+03,1.558000000000000000e+04
3.024000000000000000e+03,3.906000000000000000e+03,1.557000000000000000e+04
3.027000000000000000e+03,3.938000000000000000e+03,1.553500000000000000e+04
3.008000000000000000e+03,3.995000000000000000e+03,1.549700000000000000e+04
2.982000000000000000e+03,4.059000000000000000e+03,1.545900000000000000e+04
2.884000000000000000e+03,4.068000000000000000e+03,1.554800000000000000e+04
2.874000000000000000e+03,4.081000000000000000e+03,1.554500000000000000e+04
2.843000000000000000e+03,4.055000000000000000e+03,1.560200000000000000e+04
2.815000000000000000e+03,4.020000000000000000e+03,1.566500000000000000e+04
2.857000000000000000e+03,3.997000000000000000e+03,1.564600000000000000e+04
2.858000000000000000e+03,3.958000000000000000e+03,1.568400000000000000e+04
2.833000000000000000e+03,3.946000000000000000e+03,1.572100000000000000e+04
2.849000000000000000e+03,3.935000000000000000e+03,1.571600000000000000e+04
2.843000000000000000e+03,3.853000000000000000e+03,1.580400000000000000e+04
2.869000000000000000e+03,3.870000000000000000e+03,1.576100000000000000e+04
2.915000000000000000e+03,3.821000000000000000e+03,1.576400000000000000e+04
2.938000000000000000e+03,3.827000000000000000e+03,1.573500000000000000e+04
2.954000000000000000e+03,3.868000000000000000e+03,1.567800000000000000e+04
3.055000000000000000e+03,3.820000000000000000e+03,1.562500000000000000e+04
3.017000000000000000e+03,3.798000000000000000e+03,1.568500000000000000e+04
2.985000000000000000e+03,3.881000000000000000e+03,1.563400000000000000e+04
