S,I,R
2.230100000000000000e+04,1.990000000000000000e+02,0.000000000000000000e+00
2.141500000000000000e+04,1.030000000000000000e+03,5.500000000000000000e+01
1.981000000000000000e+04,2.329000000000000000e+03,3.610000000000000000e+02
1.747400000000000000e+04,4.011000000000000000e+03,1.015000000000000000e+03
1.485900000000000000e+04,5.502000000000000000e+03,2.139000000000000000e+03
1.219100000000000000e+04,6.760000000000000000e+03,3.549000000000000000e+03
9.683000000000000000e+03,7.573000000000000000e+03,5.244000000000000000e+03
7.466000000000000000e+03,8.108000000000000000e+03,6.926000000000000000e+03
5.721000000000000000e+03,8.121000000000000000e+03,8.658000000000000000e+03
4.413000000000000000e+03,7.848000000000000000e+03,1.023900000000000000e+04
3.566000000000000000e+03,7.307000000000000000e+03,1.162700000000000000e+04
3.089000000000000000e+03,6.738000000000000000e+03,1.267300000000000000e+04
2.903000000000000000e+03,6.225000000000000000e+03,1.337200000000000000e+04
2.848000000000000000e+03,5.829000000000000000e+03,1.382300000000000000e+04
2.783000000000000000e+03,5.439000000000000000e+03,1.427800000000000000e+04
2.926000000000000000e+03,5.092000000000000000e+03,1.448200000000000000e+04
3.099000000000000000e+03,4.888000000000000000e+03,1.451300000000000000e+04
3.231000000000000000e+03,4.821000000000000000e+03,1.444800000000000000e+04
3.321000000000000000e+03,4.784000000000000000e+03,1.439500000000000000e+04
3.326000000000000000e+03,4.716000000000000000e+03,1.445800000000000000e+04
3.341000000000000000e+03,4.781000000000000000e+03,1.437800000000000000e+04
3.265000000000000000e+03,4.791000000000000000e+03,1.444400000000000000e+04
3.341000000000000000e+03,4.691000000000000000e+03,1.446800000000000000e+04
3.408000000000000000e+03,4.690000000000000000e+03,1.440200000000000000e+04
3.412000000000000000e+03,4.693000000000000000e+03,1.439500000000000000e+04
3.434000000000000000e+03,4.759000000000000000e+03,1.430700000000000000e+04
3.402000000000000000e+03,4.785000000000000000e+03,1.431300000000000000e+04
3.402000000000000000e+03,4.874000000000000000e+03,1.422400000000000000e+04
3.390000000000000000e+03,4.861000000000000000e+03,1.424900000000000000e+04
3.326000000000000000e+03,4.876000000000000000e+03,1.429800000000000000e+04
3.282000000000000000e+03,4.891000000000000000e+03,1.432700000000000000e+04
3.309000000000000000e+03,4.794000000000000000e+03,1.439700000000000000e+04
3.375000000000000000e+03,4.733000000000000000e+03,1.439200000000000000e+04
3.269000000000000000e+03,4.799000000000000000e+03,1.443200000000000000e+04
