S,I,R
2.226200000000000000e+04,2.380000000000000000e+02,0.000000000000000000e+00
2.153400000000000000e+04,8.690000000000000000e+02,9.700000000000000000e+01
2.028600000000000000e+04,1.768000000000000000e+03,4.460000000000000000e+02
1.862300000000000000e+04,2.741000000000000000e+03,1.136000000000000000e+03
1.659700000000000000e+04,3.780000000000000000e+03,2.123000000000000000e+03
1.448200000000000000e+04,4.613000000000000000e+03,3.405000000000000000e+03
1.234200000000000000e+04,5.239000000000000000e+03,4.919000000000000000e+03
1.034300000000000000e+04,5.625000000000000000e+03,6.532000000000000000e+03
8.611000000000000000e+03,5.746000000000000000e+03,8.143000000000000000e+03
7.194000000000000000e+03,5.660000000000000000e+03,9.646000000000000000e+03
6.187000000000000000e+03,5.382000000000000000e+03,1.093100000000000000e+04
5.491000000000000000e+03,5.052000000000000000e+03,1.195700000000000000e+04
5.113000000000000000e+03,4.691000000000000000e+03,1.269600000000000000e+04
4.898000000000000000e+03,4.289000000000000000e+03,1.331300000000000000e+04
4.890000000000000000e+03,3.940000000000000000e+03,1.367000000000000000e+04
5.039000000000000000e+03,3.658000000000000000e+03,1.380300000000000000e+04
5.275000000000000000e+03,3.428000000000000000e+03,1.379700000000000000e+04
5.533000000000000000e+03,3.212000000000000000e+03,1.375500000000000000e+04
5.697000000000000000e+03,3.116000000000000000e+03,1.368700000000000000e+04
5.970000000000000000e+03,2.954000000000000000e+03,1.357600000000000000e+04
6.126000000000000000e+03,3.010000000000000000e+03,1.336400000000000000e+04
6.229000000000000000e+03,3.026000000000000000e+03,1.324500000000000000e+04
6.356000000000000000e+03,3.058000000000000000e+03,1.308600000000000000e+04
6.420000000000000000e+03,3.112000000000000000e+03,1.296800000000000000e+04
6.411000000000000000e+03,3.136000000000000000e+03,1.295300000000000000e+04
6.469000000000000000e+03,3.171000000000000000e+03,1.286000000000000000e+04
6.409000000000000000e+03,3.292000000000000000e+03,1.279900000000000000e+04
6.372000000000000000e+03,3.327000000000000000e+03,1.280100000000000000e+04
6.327000000000000000e+03,3.313000000000000000e+03,1.286000000000000000e+04
6.259000000000000000e+03,3.287000000000000000e+03,1.295400000000000000e+04
6.246000000000000000e+03,3.321000000000000000e+03,1.293300000000000000e+04
6.239000000000000000e+03,3.292000000000000000e+03,1.296900000000000000e+04
6.215000000000000000e+03,3.334000000000000000e+03,1.295100000000000000e+04
6.116000000000000000e+03,3.410000000000000000e+03,1.297400000000000000e+04
6.124000000000000000e+03,3.410000000000000000e+03,1.296600000000000000e+04
6.072000000000000000e+03,3.337000000000000000e+03,1.309100000000000000e+04
6.104000000000000000e+03,3.284000000000000000e+03,1.311200000000000000e+04
6.167000000000000000e+03,3.216000000000000000e+03,1.311700000000000000e+04
6.180000000000000000e+03,3.242000000000000000e+03,1.307800000000000000e+04
6.227000000000000000e+03,3.210000000000000000e+03,1.306300000000000000e+04
6.224000000000000000e+03,3.250000000000000000e+03,1.302600000000000000e+04
6.232000000000000000e+03,3.260000000000000000e+03,1.300800000000000000e+04
6.225000000000000000e+03,3.297000000000000000e+03,1.297800000000000000e+04
6.203000000000000000e+03,3.352000000000000000e+03,1.294500000000000000e+04
6.202000000000000000e+03,3.361000000000000000e+03,1.293700000000000000e+04
6.104000000000000000e+03,3.352000000000000000e+03,1.304400000000000000e+04
6.085000000000000000e+03,3.314000000000000000e+03,1.310100000000000000e+04
5.988000000000000000e+03,3.352000000000000000e+03,1.316000000000000000e+04
5.968000000000000000e+03,3.330000000000000000e+03,1.320200000000000000e+04
5.936000000000000000e+03,3.313000000000000000e+03,1.325100000000000000e+04
5.911000000000000000e+03,3.330000000000000000e+03,1.325900000000000000e+04
5.938000000000000000e+03,3.300000000000000000e+03,1.326200000000000000e+04
5.981000000000000000e+03,3.208000000000000000e+03,1.331100000000000000e+04
6.044000000000000000e+03,3.206000000000000000e+03,1.325000000000000000e+04
6.140000000000000000e+03,3.179000000000000000e+03,1.318100000000000000e+04
6.168000000000000000e+03,3.153000000000000000e+03,1.317900000000000000e+04
6.235000000000000000e+03,3.164000000000000000e+03,1.310100000000000000e+04
6.248000000000000000e+03,3.148000000000000000e+03,1.310400000000000000e+04
6.334000000000000000e+03,3.140000000000000000e+03,1.302600000000000000e+04
6.336000000000000000e+03,3.157000000000000000e+03,1.300700000000000000e+04
6.225000000000000000e+03,3.157000000000000000e+03,1.311800000000000000e+04
6.276000000000000000e+03,3.123000000000000000e+03,1.310100000000000000e+04
6.190000000000000000e+03,3.256000000000000000e+03,1.305400000000000000e+04
6.137000000000000000e+03,3.281000000000000000e+03,1.308200000000000000e+04
6.145000000000000000e+03,3.252000000000000000e+03,1.310300000000000000e+04
6.231000000000000000e+03,3.184000000000000000e+03,1.308500000000000000e+04
6.215000000000000000e+03,3.245000000000000000e+03,1.304000000000000000e+04
6.246000000000000000e+03,3.209000000000000000e+03,1.304500000000000000e+04
6.310000000000000000e+03,3.199000000000000000e+03,1.299100000000000000e+04
6.359000000000000000e+03,3.243000000000000000e+03,1.289800000000000000e+04
6.341000000000000000e+03,3.296000000000000000e+03,1.286300000000000000e+04
6.252000000000000000e+03,3.377000000000000000e+03,1.287100000000000000e+04
6.171000000000000000e+03,3.382000000000000000e+03,1.294700000000000000e+04
6.037000000000000000e+03,3.415000000000000000e+03,1.304800000000000000e+04
6.004000000000000000e+03,3.381000000000000000e+03,1.311500000000000000e+04
6.002000000000000000e+03,3.376000000000000000e+03,1.312200000000000000e+04
5.991000000000000000e+03,3.366000000000000000e+03,1.314300000000000000e+04
5.967000000000000000e+03,3.368000000000000000e+03,1.316500000000000000e+04
5.856000000000000000e+03,3.425000000000000000e+03,1.321900000000000000e+04
5.895000000000000000e+03,3.387000000000000000e+03,1.321800000000000000e+04
5.882000000000000000e+03,3.362000000000000000e+03,1.325600000000000000e+04
5.901000000000000000e+03,3.340000000000000000e+03,1.325900000000000000e+04
5.963000000000000000e+03,3.295000000000000000e+03,1.324200000000000000e+04
5.944000000000000000e+03,3.319000000000000000e+03,1.323700000000000000e+04
5.917000000000000000e+03,3.348000000000000000e+03,1.323500000000000000e+04
5.930000000000000000e+03,3.313000000000000000e+03,1.325700000000000000e+04
6.027000000000000000e+03,3.272000000000000000e+03,1.320100000000000000e+04
6.013000000000000000e+03,3.278000000000000000e+03,1.320900000000000000e+04
6.027000000000000000e+03,3.260000000000000000e+03,1.321300000000000000e+04
6.035000000000000000e+03,3.289000000000000000e+03,1.317600000000000000e+04
6.011000000000000000e+03,3.268000000000000000e+03,1.322100000000000000e+04
6.023000000000000000e+03,3.279000000000000000e+03,1.319800000000000000e+04
5.988000000000000000e+03,3.248000000000000000e+03,1.326400000000000000e+04
6.107000000000000000e+03,3.223000000000000000e+03,1.317000000000000000e+04
6.060000000000000000e+03,3.280000000000000000e+03,1.316000000000000000e+04
6.085000000000000000e+03,3.182000000000000000e+03,1.323300000000000000e+04
6.164000000000000000e+03,3.083000000000000000e+03,1.325300000000000000e+04
6.273000000000000000e+03,3.042000000000000000e+03,1.318500000000000000e+04
6.287000000000000000e+03,3.136000000000000000e+03,1.307700000000000000e+04
6.291000000000000000e+03,3.184000000000000000e+03,1.302500000000000000e+04
6.277000000000000000e+03,3.219000000000000000e+03,1.300400000000000000e+04
6.373000000000000000e+03,3.103000000000000000e+03,1.302400000000000000e+04
6.368000000000000000e+03,3.140000000000000000e+03,1.299200000000000000e+04
6.368000000000000000e+03,3.208000000000000000e+03,1.292400000000000000e+04
6.382000000000000000e+03,3.226000000000000000e+03,1.289200000000000000e+04
6.321000000000000000e+03,3.315000000000000000e+03,1.286400000000000000e+04
6.356000000000000000e+03,3.360000000000000000e+03,1.278400000000000000e+04
6.396000000000000000e+03,3.283000000000000000e+03,1.282100000000000000e+04
6.326000000000000000e+03,3.295000000000000000e+03,1.287900000000000000e+04
6.292000000000000000e+03,3.391000000000000000e+03,1.281700000000000000e+04
6.234000000000000000e+03,3.365000000000000000e+03,1.290100000000000000e+04
6.175000000000000000e+03,3.427000000000000000e+03,1.289800000000000000e+04
6.088000000000000000e+03,3.357000000000000000e+03,1.305500000000000000e+04
6.073000000000000000e+03,3.362000000000000000e+03,1.306500000000000000e+04
6.029000000000000000e+03,3.355000000000000000e+03,1.311600000000000000e+04
6.016000000000000000e+03,3.359000000000000000e+03,1.312500000000000000e+04
6.038000000000000000e+03,3.344000000000000000e+03,1.311800000000000000e+04
6.131000000000000000e+03,3.296000000000000000e+03,1.307300000000000000e+04
6.064000000000000000e+03,3.295000000000000000e+03,1.314100000000000000e+04
6.025000000000000000e+03,3.275000000000000000e+03,1.320000000000000000e+04
6.044000000000000000e+03,3.240000000000000000e+03,1.321600000000000000e+04
6.073000000000000000e+03,3.153000000000000000e+03,1.327400000000000000e+04
6.032000000000000000e+03,3.211000000000000000e+03,1.325700000000000000e+04
6.005000000000000000e+03,3.180000000000000000e+03,1.331500000000000000e+04
6.144000000000000000e+03,3.094000000000000000e+03,1.326200000000000000e+04
6.170000000000000000e+03,3.062000000000000000e+03,1.326800000000000000e+04
6.225000000000000000e+03,3.118000000000000000e+03,1.315700000000000000e+04
6.373000000000000000e+03,3.025000000000000000e+03,1.310200000000000000e+04
6.448000000000000000e+03,3.124000000000000000e+03,1.292800000000000000e+04
6.434000000000000000e+03,3.194000000000000000e+03,1.287200000000000000e+04
6.414000000000000000e+03,3.178000000000000000e+03,1.290800000000000000e+04
6.457000000000000000e+03,3.231000000000000000e+03,1.281200000000000000e+04
6.442000000000000000e+03,3.231000000000000000e+03,1.282700000000000000e+04
6.308000000000000000e+03,3.365000000000000000e+03,1.282700000000000000e+04
6.192000000000000000e+03,3.449000000000000000e+03,1.285900000000000000e+04
6.014000000000000000e+03,3.465000000000000000e+03,1.302100000000000000e+04
5.872000000000000000e+03,3.483000000000000000e+03,1.314500000000000000e+04
5.915000000000000000e+03,3.411000000000000000e+03,1.317400000000000000e+04
5.922000000000000000e+03,3.349000000000000000e+03,1.322900000000000000e+04
5.900000000000000000e+03,3.332000000000000000e+03,1.326800000000000000e+04
5.864000000000000000e+03,3.321000000000000000e+03,1.331500000000000000e+04
5.940000000000000000e+03,3.279000000000000000e+03,1.328100000000000000e+04
5.916000000000000000e+03,3.251000000000000000e+03,1.333300000000000000e+04
6.014000000000000000e+03,3.169000000000000000e+03,1.331700000000000000e+04
6.112000000000000000e+03,3.199000000000000000e+03,1.318900000000000000e+04
6.081000000000000000e+03,3.158000000000000000e+03,1.326100000000000000e+04
6.130000000000000000e+03,3.193000000000000000e+03,1.317700000000000000e+04
6.175000000000000000e+03,3.180000000000000000e+03,1.314500000000000000e+04
6.086000000000000000e+03,3.206000000000000000e+03,1.320800000000000000e+04
6.137000000000000000e+03,3.186000000000000000e+03,1.317700000000000000e+04
6.167000000000000000e+03,3.211000000000000000e+03,1.312200000000000000e+04
6.143000000000000000e+03,3.273000000000000000e+03,1.308400000000000000e+04
6.120000000000000000e+03,3.257000000000000000e+03,1.312300000000000000e+04
6.138000000000000000e+03,3.194000000000000000e+03,1.316800000000000000e+04
6.207000000000000000e+03,3.154000000000000000e+03,1.313900000000000000e+04
6.201000000000000000e+03,3.172000000000000000e+03,1.312700000000000000e+04
6.308000000000000000e+03,3.155000000000000000e+03,1.303700000000000000e+04
6.334000000000000000e+03,3.205000000000000000e+03,1.296100000000000000e+04
6.187000000000000000e+03,3.266000000000000000e+03,1.304700000000000000e+04
6.142000000000000000e+03,3.346000000000000000e+03,1.301200000000000000e+04
6.092000000000000000e+03,3.399000000000000000e+03,1.300900000000000000e+04
6.070000000000000000e+03,3.348000000000000000e+03,1.308200000000000000e+04
6.054000000000000000e+03,3.323000000000000000e+03,1.312300000000000000e+04
5.986000000000000000e+03,3.401000000000000000e+03,1.311300000000000000e+04
5.944000000000000000e+03,3.387000000000000000e+03,1.316900000000000000e+04
5.915000000000000000e+03,3.289000000000000000e+03,1.329600000000000000e+04
6.021000000000000000e+03,3.246000000000000000e+03,1.323300000000000000e+04
6.020000000000000000e+03,3.261000000000000000e+03,1.321900000000000000e+04
6.061000000000000000e+03,3.237000000000000000e+03,1.320200000000000000e+04
6.049000000000000000e+03,3.272000000000000000e+03,1.317900000000000000e+04
6.109000000000000000e+03,3.257000000000000000e+03,1.313400000000000000e+04
6.184000000000000000e+03,3.181000000000000000e+03,1.313500000000000000e+04
6.187000000000000000e+03,3.175000000000000000e+03,1.313800000000000000e+04
6.193000000000000000e+03,3.248000000000000000e+03,1.305900000000000000e+04
6.293000000000000000e+03,3.240000000000000000e+03,1.296700000000000000e+04
6.330000000000000000e+03,3.251000000000000000e+03,1.291900000000000000e+04
6.292000000000000000e+03,3.285000000000000000e+03,1.292300000000000000e+04
6.307000000000000000e+03,3.271000000000000000e+03,1.292200000000000000e+04
6.337000000000000000e+03,3.294000000000000000e+03,1.286900000000000000e+04
6.250000000000000000e+03,3.355000000000000000e+03,1.289500000000000000e+04
6.214000000000000000e+03,3.421000000000000000e+03,1.286500000000000000e+04
6.047000000000000000e+03,3.450000000000000000e+03,1.300300000000000000e+04
5.973000000000000000e+03,3.481000000000000000e+03,1.304600000000000000e+04
6.003000000000000000e+03,3.390000000000000000e+03,1.310700000000000000e+04
5.928000000000000000e+03,3.356000000000000000e+03,1.321600000000000000e+04
5.954000000000000000e+03,3.278000000000000000e+03,1.326800000000000000e+04
6.003000000000000000e+03,3.264000000000000000e+03,1.323300000000000000e+04
6.009000000000000000e+03,3.203000000000000000e+03,1.328800000000000000e+04
6.051000000000000000e+03,3.180000000000000000e+03,1.326900000000000000e+04
6.099000000000000000e+03,3.215000000000000000e+03,1.318600000000000000e+04
6.174000000000000000e+03,3.238000000000000000e+03,1.308800000000000000e+04
6.149000000000000000e+03,3.227000000000000000e+03,1.312400000000000000e+04
6.086000000000000000e+03,3.305000000000000000e+03,1.310900000000000000e+04
6.145000000000000000e+03,3.227000000000000000e+03,1.312800000000000000e+04
6.195000000000000000e+03,3.227000000000000000e+03,1.307800000000000000e+04
6.325000000000000000e+03,3.206000000000000000e+03,1.296900000000000000e+04
6.272000000000000000e+03,3.245000000000000000e+03,1.298300000000000000e+04
6.358000000000000000e+03,3.146000000000000000e+03,1.299600000000000000e+04
6.333000000000000000e+03,3.194000000000000000e+03,1.297300000000000000e+04
6.226000000000000000e+03,3.316000000000000000e+03,1.295800000000000000e+04
6.190000000000000000e+03,3.330000000000000000e+03,1.298000000000000000e+04
