S,I,R
2.230400000000000000e+04,1.960000000000000000e+02,0.000000000000000000e+00
2.155700000000000000e+04,9.110000000000000000e+02,3.200000000000000000e+01
2.021300000000000000e+04,2.075000000000000000e+03,2.120000000000000000e+02
1.834800000000000000e+04,3.538000000000000000e+03,6.140000000000000000e+02
1.597200000000000000e+04,5.266000000000000000e+03,1.262000000000000000e+03
1.334600000000000000e+04,6.889000000000000000e+03,2.265000000000000000e+03
1.073400000000000000e+04,8.267000000000000000e+03,3.499000000000000000e+03
8.429000000000000000e+03,9.105000000000000000e+03,4.966000000000000000e+03
6.458000000000000000e+03,9.511000000000000000e+03,6.531000000000000000e+03
4.911000000000000000e+03,9.448000000000000000e+03,8.141000000000000000e+03
3.681000000000000000e+03,9.136000000000000000e+03,9.683000000000000000e+03
2.862000000000000000e+03,8.589000000000000000e+03,1.104900000000000000e+04
2.315000000000000000e+03,7.998000000000000000e+03,1.218700000000000000e+04
1.997000000000000000e+03,7.326000000000000000e+03,1.317700000000000000e+04
1.818000000000000000e+03,6.723000000000000000e+03,1.395900000000000000e+04
1.808000000000000000e+03,6.041000000000000000e+03,1.465100000000000000e+04
1.836000000000000000e+03,5.566000000000000000e+03,1.509800000000000000e+04
1.831000000000000000e+03,5.137000000000000000e+03,1.553200000000000000e+04
1.959000000000000000e+03,4.751000000000000000e+03,1.579000000000000000e+04
2.122000000000000000e+03,4.434000000000000000e+03,1.594400000000000000e+04
2.225000000000000000e+03,4.209000000000000000e+03,1.606600000000000000e+04
2.381000000000000000e+03,4.026000000000000000e+03,1.609300000000000000e+04
2.483000000000000000e+03,3.897000000000000000e+03,1.612000000000000000e+04
2.657000000000000000e+03,3.781000000000000000e+03,1.606200000000000000e+04
2.685000000000000000e+03,3.747000000000000000e+03,1.606800000000000000e+04
2.721000000000000000e+03,3.728000000000000000e+03,1.605100000000000000e+04
2.852000000000000000e+03,3.677000000000000000e+03,1.597100000000000000e+04
2.875000000000000000e+03,3.668000000000000000e+03,1.595700000000000000e+04
2.944000000000000000e+03,3.628000000000000000e+03,1.592800000000000000e+04
3.095000000000000000e+03,3.587000000000000000e+03,1.581800000000000000e+04
3.117000000000000000e+03,3.593000000000000000e+03,1.579000000000000000e+04
3.169000000000000000e+03,3.625000000000000000e+03,1.570600000000000000e+04
3.148000000000000000e+03,3.640000000000000000e+03,1.571200000000000000e+04
3.185000000000000000e+03,3.724000000000000000e+03,1.559100000000000000e+04
3.126000000000000000e+03,3.827000000000000000e+03,1.554700000000000000e+04
3.100000000000000000e+03,3.831000000000000000e+03,1.556900000000000000e+04
3.110000000000000000e+03,3.810000000000000000e+03,1.558000000000000000e+04
3.104000000000000000e+03,3.804000000000000000e+03,1.559200000000000000e+04
3.044000000000000000e+03,3.892000000000000000e+03,1.556400000000000000e+04
3.022000000000000000e+03,3.872000000000000000e+03,1.560600000000000000e+04
2.985000000000000000e+03,3.934000000000000000e+03,1.558100000000000000e+04
2.987000000000000000e+03,3.932000000000000000e+03,1.558100000000000000e+04
2.962000000000000000e+03,3.992000000000000000e+03,1.554600000000000000e+04
2.904000000000000000e+03,4.005000000000000000e+03,1.559100000000000000e+04
2.894000000000000000e+03,4.049000000000000000e+03,1.555700000000000000e+04
2.893000000000000000e+03,4.036000000000000000e+03,1.557100000000000000e+04
2.859000000000000000e+03,4.059000000000000000e+03,1.558200000000000000e+04
2.815000000000000000e+03,3.997000000000000000e+03,1.568800000000000000e+04
2.804000000000000000e+03,3.982000000000000000e+03,1.571400000000000000e+04
2.822000000000000000e+03,3.964000000000000000e+03,1.571400000000000000e+04
2.816000000000000000e+03,3.981000000000000000e+03,1.570300000000000000e+04
2.837000000000000000e+03,3.941000000000000000e+03,1.572200000000000000e+04
2.850000000000000000e+03,3.938000000000000000e+03,1.571200000000000000e+04
2.930000000000000000e+03,3.846000000000000000e+03,1.572400000000000000e+04
2.987000000000000000e+03,3.859000000000000000e+03,1.565400000000000000e+04
2.996000000000000000e+03,3.861000000000000000e+03,1.564300000000000000e+04
3.027000000000000000e+03,3.850000000000000000e+03,1.562300000000000000e+04
2.993000000000000000e+03,3.869000000000000000e+03,1.563800000000000000e+04
2.986000000000000000e+03,3.908000000000000000e+03,1.560600000000000000e+04
3.022000000000000000e+03,3.906000000000000000e+03,1.557200000000000000e+04
2.999000000000000000e+03,3.889000000000000000e+03,1.561200000000000000e+04
2.990000000000000000e+03,3.896000000000000000e+03,1.561400000000000000e+04
2.963000000000000000e+03,3.894000000000000000e+03,1.564300000000000000e+04
3.031000000000000000e+03,3.866000000000000000e+03,1.560300000000000000e+04
3.058000000000000000e+03,3.866000000000000000e+03,1.557600000000000000e+04
3.060000000000000000e+03,3.896000000000000000e+03,1.554400000000000000e+04
2.991000000000000000e+03,3.962000000000000000e+03,1.554700000000000000e+04
2.976000000000000000e+03,3.918000000000000000e+03,1.560600000000000000e+04
3.030000000000000000e+03,3.861000000000000000e+03,1.560900000000000000e+04
3.032000000000000000e+03,3.822000000000000000e+03,1.564600000000000000e+04
3.032000000000000000e+03,3.859000000000000000e+03,1.560900000000000000e+04
3.030000000000000000e+03,3.899000000000000000e+03,1.557100000000000000e+04
3.026000000000000000e+03,3.947000000000000000e+03,1.552700000000000000e+04
2.969000000000000000e+03,3.980000000000000000e+03,1.555100000000000000e+04
2.936000000000000000e+03,4.010000000000000000e+03,1.555400000000000000e+04
2.955000000000000000e+03,3.919000000000000000e+03,1.562600000000000000e+04
2.971000000000000000e+03,3.937000000000000000e+03,1.559200000000000000e+04
2.964000000000000000e+03,3.995000000000000000e+03,1.554100000000000000e+04
2.983000000000000000e+03,3.967000000000000000e+03,1.555000000000000000e+04
3.018000000000000000e+03,3.980000000000000000e+03,1.550200000000000000e+04
3.018000000000000000e+03,3.960000000000000000e+03,1.552200000000000000e+04
2.932000000000000000e+03,3.948000000000000000e+03,1.562000000000000000e+04
2.895000000000000000e+03,3.938000000000000000e+03,1.566700000000000000e+04
2.850000000000000000e+03,3.943000000000000000e+03,1.570700000000000000e+04
2.907000000000000000e+03,3.889000000000000000e+03,1.570400000000000000e+04
2.935000000000000000e+03,3.866000000000000000e+03,1.569900000000000000e+04
2.922000000000000000e+03,3.909000000000000000e+03,1.566900000000000000e+04
2.915000000000000000e+03,3.959000000000000000e+03,1.562600000000000000e+04
2.937000000000000000e+03,3.933000000000000000e+03,1.563000000000000000e+04
2.946000000000000000e+03,3.898000000000000000e+03,1.565600000000000000e+04
2.971000000000000000e+03,3.900000000000000000e+03,1.562900000000000000e+04
2.933000000000000000e+03,3.923000000000000000e+03,1.564400000000000000e+04
2.963000000000000000e+03,3.878000000000000000e+03,1.565900000000000000e+04
2.968000000000000000e+03,3.830000000000000000e+03,1.570200000000000000e+04
2.963000000000000000e+03,3.821000000000000000e+03,1.571600000000000000e+04
3.016000000000000000e+03,3.823000000000000000e+03,1.566100000000000000e+04
3.036000000000000000e+03,3.819000000000000000e+03,1.564500000000000000e+04
3.070000000000000000e+03,3.863000000000000000e+03,1.556700000000000000e+04
3.054000000000000000e+03,3.899000000000000000e+03,1.554700000000000000e+04
3.029000000000000000e+03,3.902000000000000000e+03,1.556900000000000000e+04
3.026000000000000000e+03,3.939000000000000000e+03,1.553500000000000000e+04
2.997000000000000000e+03,3.938000000000000000e+03,1.556500000000000000e+04
2.930000000000000000e+03,4.006000000000000000e+03,1.556400000000000000e+04
2.905000000000000000e+03,4.042000000000000000e+03,1.555300000000000000e+04
2.893000000000000000e+03,3.967000000000000000e+03,1.564000000000000000e+04
2.859000000000000000e+03,3.957000000000000000e+03,1.568400000000000000e+04
2.968000000000000000e+03,3.904000000000000000e+03,1.562800000000000000e+04
3.012000000000000000e+03,3.855000000000000000e+03,1.563300000000000000e+04
3.015000000000000000e+03,3.843000000000000000e+03,1.564200000000000000e+04
3.024000000000000000e+03,3.833000000000000000e+03,1.564300000000000000e+04
3.007000000000000000e+03,3.924000000000000000e+03,1.556900000000000000e+04
2.985000000000000000e+03,3.911000000000000000e+03,1.560400000000000000e+04
2.967000000000000000e+03,3.961000000000000000e+03,1.557200000000000000e+04
2.993000000000000000e+03,3.950000000000000000e+03,1.555700000000000000e+04
3.034000000000000000e+03,3.905000000000000000e+03,1.556100000000000000e+04
3.072000000000000000e+03,3.928000000000000000e+03,1.550000000000000000e+04
3.005000000000000000e+03,3.948000000000000000e+03,1.554700000000000000e+04
2.966000000000000000e+03,3.955000000000000000e+03,1.557900000000000000e+04
3.021000000000000000e+03,3.893000000000000000e+03,1.558600000000000000e+04
3.022000000000000000e+03,3.842000000000000000e+03,1.563600000000000000e+04
3.050000000000000000e+03,3.852000000000000000e+03,1.559800000000000000e+04
3.068000000000000000e+03,3.858000000000000000e+03,1.557400000000000000e+04
2.998000000000000000e+03,3.906000000000000000e+03,1.559600000000000000e+04
2.992000000000000000e+03,3.954000000000000000e+03,1.555400000000000000e+04
2.977000000000000000e+03,3.965000000000000000e+03,1.555800000000000000e+04
2.966000000000000000e+03,3.918000000000000000e+03,1.561600000000000000e+04
2.966000000000000000e+03,3.965000000000000000e+03,1.556900000000000000e+04
2.992000000000000000e+03,3.899000000000000000e+03,1.560900000000000000e+04
2.960000000000000000e+03,3.865000000000000000e+03,1.567500000000000000e+04
3.021000000000000000e+03,3.869000000000000000e+03,1.561000000000000000e+04
2.945000000000000000e+03,3.938000000000000000e+03,1.561700000000000000e+04
2.968000000000000000e+03,3.887000000000000000e+03,1.564500000000000000e+04
2.962000000000000000e+03,3.864000000000000000e+03,1.567400000000000000e+04
2.944000000000000000e+03,3.832000000000000000e+03,1.572400000000000000e+04
2.975000000000000000e+03,3.875000000000000000e+03,1.565000000000000000e+04
2.986000000000000000e+03,3.854000000000000000e+03,1.566000000000000000e+04
2.996000000000000000e+03,3.866000000000000000e+03,1.563800000000000000e+04
3.026000000000000000e+03,3.818000000000000000e+03,1.565600000000000000e+04
3.092000000000000000e+03,3.792000000000000000e+03,1.561600000000000000e+04
3.098000000000000000e+03,3.848000000000000000e+03,1.555400000000000000e+04
3.062000000000000000e+03,3.885000000000000000e+03,1.555300000000000000e+04
3.018000000000000000e+03,3.986000000000000000e+03,1.549600000000000000e+04
3.083000000000000000e+03,3.948000000000000000e+03,1.546900000000000000e+04
3.023000000000000000e+03,3.897000000000000000e+03,1.558000000000000000e+04
3.091000000000000000e+03,3.872000000000000000e+03,1.553700000000000000e+04
3.072000000000000000e+03,3.950000000000000000e+03,1.547800000000000000e+04
3.028000000000000000e+03,3.949000000000000000e+03,1.552300000000000000e+04
3.017000000000000000e+03,3.934000000000000000e+03,1.554900000000000000e+04
2.959000000000000000e+03,3.992000000000000000e+03,1.554900000000000000e+04
2.957000000000000000e+03,3.949000000000000000e+03,1.559400000000000000e+04
3.008000000000000000e+03,3.866000000000000000e+03,1.562600000000000000e+04
3.020000000000000000e+03,3.875000000000000000e+03,1.560500000000000000e+04
2.998000000000000000e+03,3.897000000000000000e+03,1.560500000000000000e+04
2.959000000000000000e+03,3.882000000000000000e+03,1.565900000000000000e+04
2.984000000000000000e+03,3.871000000000000000e+03,1.564500000000000000e+04
3.005000000000000000e+03,3.853000000000000000e+03,1.564200000000000000e+04
2.980000000000000000e+03,3.892000000000000000e+03,1.562800000000000000e+04
2.991000000000000000e+03,3.895000000000000000e+03,1.561400000000000000e+04
3.046000000000000000e+03,3.851000000000000000e+03,1.560300000000000000e+04
3.013000000000000000e+03,3.864000000000000000e+03,1.562300000000000000e+04
3.070000000000000000e+03,3.842000000000000000e+03,1.558800000000000000e+04
3.061000000000000000e+03,3.904000000000000000e+03,1.553500000000000000e+04
3.096000000000000000e+03,3.892000000000000000e+03,1.551200000000000000e+04
3.025000000000000000e+03,3.968000000000000000e+03,1.550700000000000000e+04
3.043000000000000000e+03,3.967000000000000000e+03,1.549000000000000000e+04
3.056000000000000000e+03,3.967000000000000000e+03,1.547700000000000000e+04
2.949000000000000000e+03,4.024000000000000000e+03,1.552700000000000000e+04
2.970000000000000000e+03,4.022000000000000000e+03,1.550800000000000000e+04
3.022000000000000000e+03,4.052000000000000000e+03,1.542600000000000000e+04
2.957000000000000000e+03,4.057000000000000000e+03,1.548600000000000000e+04
2.873000000000000000e+03,4.115000000000000000e+03,1.551200000000000000e+04
2.830000000000000000e+03,4.116000000000000000e+03,1.555400000000000000e+04
2.838000000000000000e+03,4.115000000000000000e+03,1.554700000000000000e+04
2.852000000000000000e+03,4.065000000000000000e+03,1.558300000000000000e+04
2.828000000000000000e+03,4.021000000000000000e+03,1.565100000000000000e+04
2.830000000000000000e+03,3.983000000000000000e+03,1.568700000000000000e+04
2.812000000000000000e+03,3.965000000000000000e+03,1.572300000000000000e+04
