S,I,R
2.227800000000000000e+04,2.220000000000000000e+02,0.000000000000000000e+00
2.129800000000000000e+04,1.136000000000000000e+03,6.600000000000000000e+01
1.947700000000000000e+04,2.624000000000000000e+03,3.990000000000000000e+02
1.697600000000000000e+04,4.368000000000000000e+03,1.156000000000000000e+03
1.402600000000000000e+04,6.082000000000000000e+03,2.392000000000000000e+03
1.111100000000000000e+04,7.339000000000000000e+03,4.050000000000000000e+03
8.477000000000000000e+03,8.282000000000000000e+03,5.741000000000000000e+03
6.350000000000000000e+03,8.432000000000000000e+03,7.718000000000000000e+03
4.788000000000000000e+03,8.206000000000000000e+03,9.506000000000000000e+03
3.887000000000000000e+03,7.620000000000000000e+03,1.099300000000000000e+04
3.234000000000000000e+03,7.089000000000000000e+03,1.217700000000000000e+04
2.975000000000000000e+03,6.465000000000000000e+03,1.306000000000000000e+04
2.852000000000000000e+03,5.984000000000000000e+03,1.366400000000000000e+04
2.938000000000000000e+03,5.555000000000000000e+03,1.400700000000000000e+04
2.983000000000000000e+03,5.294000000000000000e+03,1.422300000000000000e+04
2.990000000000000000e+03,5.081000000000000000e+03,1.442900000000000000e+04
3.010000000000000000e+03,4.870000000000000000e+03,1.462000000000000000e+04
3.184000000000000000e+03,4.729000000000000000e+03,1.458700000000000000e+04
3.312000000000000000e+03,4.694000000000000000e+03,1.449400000000000000e+04
3.345000000000000000e+03,4.661000000000000000e+03,1.449400000000000000e+04
3.312000000000000000e+03,4.672000000000000000e+03,1.451600000000000000e+04
3.357000000000000000e+03,4.686000000000000000e+03,1.445700000000000000e+04
3.417000000000000000e+03,4.634000000000000000e+03,1.444900000000000000e+04
3.319000000000000000e+03,4.791000000000000000e+03,1.439000000000000000e+04
3.310000000000000000e+03,4.750000000000000000e+03,1.444000000000000000e+04
3.330000000000000000e+03,4.676000000000000000e+03,1.449400000000000000e+04
3.415000000000000000e+03,4.619000000000000000e+03,1.446600000000000000e+04
3.440000000000000000e+03,4.707000000000000000e+03,1.435300000000000000e+04
3.458000000000000000e+03,4.759000000000000000e+03,1.428300000000000000e+04
3.349000000000000000e+03,4.826000000000000000e+03,1.432500000000000000e+04
3.337000000000000000e+03,4.822000000000000000e+03,1.434100000000000000e+04
3.397000000000000000e+03,4.823000000000000000e+03,1.428000000000000000e+04
3.303000000000000000e+03,4.895000000000000000e+03,1.430200000000000000e+04
3.250000000000000000e+03,4.843000000000000000e+03,1.440700000000000000e+04
3.257000000000000000e+03,4.833000000000000000e+03,1.441000000000000000e+04
3.257000000000000000e+03,4.764000000000000000e+03,1.447900000000000000e+04
3.261000000000000000e+03,4.717000000000000000e+03,1.452200000000000000e+04
3.272000000000000000e+03,4.664000000000000000e+03,1.456400000000000000e+04
3.284000000000000000e+03,4.618000000000000000e+03,1.459800000000000000e+04
3.394000000000000000e+03,4.641000000000000000e+03,1.446500000000000000e+04
3.467000000000000000e+03,4.610000000000000000e+03,1.442300000000000000e+04
3.486000000000000000e+03,4.689000000000000000e+03,1.432500000000000000e+04
3.410000000000000000e+03,4.757000000000000000e+03,1.433300000000000000e+04
3.410000000000000000e+03,4.740000000000000000e+03,1.435000000000000000e+04
3.420000000000000000e+03,4.740000000000000000e+03,1.434000000000000000e+04
3.369000000000000000e+03,4.859000000000000000e+03,1.427200000000000000e+04
3.336000000000000000e+03,4.781000000000000000e+03,1.438300000000000000e+04
3.341000000000000000e+03,4.766000000000000000e+03,1.439300000000000000e+04
3.314000000000000000e+03,4.746000000000000000e+03,1.444000000000000000e+04
3.260000000000000000e+03,4.828000000000000000e+03,1.441200000000000000e+04
3.267000000000000000e+03,4.781000000000000000e+03,1.445200000000000000e+04
3.326000000000000000e+03,4.771000000000000000e+03,1.440300000000000000e+04
3.342000000000000000e+03,4.656000000000000000e+03,1.450200000000000000e+04
3.372000000000000000e+03,4.724000000000000000e+03,1.440400000000000000e+04
3.453000000000000000e+03,4.741000000000000000e+03,1.430600000000000000e+04
3.413000000000000000e+03,4.742000000000000000e+03,1.434500000000000000e+04
3.375000000000000000e+03,4.792000000000000000e+03,1.433300000000000000e+04
3.342000000000000000e+03,4.808000000000000000e+03,1.435000000000000000e+04
3.368000000000000000e+03,4.754000000000000000e+03,1.437800000000000000e+04
3.366000000000000000e+03,4.763000000000000000e+03,1.437100000000000000e+04
3.401000000000000000e+03,4.799000000000000000e+03,1.430000000000000000e+04
3.381000000000000000e+03,4.764000000000000000e+03,1.435500000000000000e+04
3.440000000000000000e+03,4.763000000000000000e+03,1.429700000000000000e+04
3.499000000000000000e+03,4.852000000000000000e+03,1.414900000000000000e+04
3.272000000000000000e+03,4.988000000000000000e+03,1.424000000000000000e+04
3.195000000000000000e+03,4.932000000000000000e+03,1.437300000000000000e+04
3.206000000000000000e+03,4.852000000000000000e+03,1.444200000000000000e+04
3.298000000000000000e+03,4.818000000000000000e+03,1.438400000000000000e+04
3.409000000000000000e+03,4.769000000000000000e+03,1.432200000000000000e+04
3.354000000000000000e+03,4.776000000000000000e+03,1.437000000000000000e+04
3.394000000000000000e+03,4.766000000000000000e+03,1.434000000000000000e+04
