S,I,R
2.226900000000000000e+04,2.310000000000000000e+02,0.000000000000000000e+00
2.157100000000000000e+04,8.420000000000000000e+02,8.700000000000000000e+01
2.045000000000000000e+04,1.651000000000000000e+03,3.990000000000000000e+02
1.886500000000000000e+04,2.610000000000000000e+03,1.025000000000000000e+03
1.693000000000000000e+04,3.624000000000000000e+03,1.946000000000000000e+03
1.476500000000000000e+04,4.533000000000000000e+03,3.202000000000000000e+03
1.267100000000000000e+04,5.175000000000000000e+03,4.654000000000000000e+03
1.058300000000000000e+04,5.670000000000000000e+03,6.247000000000000000e+03
8.729000000000000000e+03,5.946000000000000000e+03,7.825000000000000000e+03
7.286000000000000000e+03,5.837000000000000000e+03,9.377000000000000000e+03
6.209000000000000000e+03,5.497000000000000000e+03,1.079400000000000000e+04
5.529000000000000000e+03,5.099000000000000000e+03,1.187200000000000000e+04
5.075000000000000000e+03,4.724000000000000000e+03,1.270100000000000000e+04
4.868000000000000000e+03,4.317000000000000000e+03,1.331500000000000000e+04
4.832000000000000000e+03,3.941000000000000000e+03,1.372700000000000000e+04
4.917000000000000000e+03,3.617000000000000000e+03,1.396600000000000000e+04
5.210000000000000000e+03,3.346000000000000000e+03,1.394400000000000000e+04
5.481000000000000000e+03,3.149000000000000000e+03,1.387000000000000000e+04
5.708000000000000000e+03,3.028000000000000000e+03,1.376400000000000000e+04
5.846000000000000000e+03,3.030000000000000000e+03,1.362400000000000000e+04
5.997000000000000000e+03,3.010000000000000000e+03,1.349300000000000000e+04
6.214000000000000000e+03,3.003000000000000000e+03,1.328300000000000000e+04
6.303000000000000000e+03,3.013000000000000000e+03,1.318400000000000000e+04
6.361000000000000000e+03,3.030000000000000000e+03,1.310900000000000000e+04
6.418000000000000000e+03,3.126000000000000000e+03,1.295600000000000000e+04
6.386000000000000000e+03,3.150000000000000000e+03,1.296400000000000000e+04
6.330000000000000000e+03,3.227000000000000000e+03,1.294300000000000000e+04
6.273000000000000000e+03,3.228000000000000000e+03,1.299900000000000000e+04
6.208000000000000000e+03,3.255000000000000000e+03,1.303700000000000000e+04
6.226000000000000000e+03,3.224000000000000000e+03,1.305000000000000000e+04
6.192000000000000000e+03,3.277000000000000000e+03,1.303100000000000000e+04
6.202000000000000000e+03,3.330000000000000000e+03,1.296800000000000000e+04
6.214000000000000000e+03,3.303000000000000000e+03,1.298300000000000000e+04
6.146000000000000000e+03,3.340000000000000000e+03,1.301400000000000000e+04
6.136000000000000000e+03,3.336000000000000000e+03,1.302800000000000000e+04
6.118000000000000000e+03,3.267000000000000000e+03,1.311500000000000000e+04
6.206000000000000000e+03,3.217000000000000000e+03,1.307700000000000000e+04
6.224000000000000000e+03,3.205000000000000000e+03,1.307100000000000000e+04
6.216000000000000000e+03,3.212000000000000000e+03,1.307200000000000000e+04
6.178000000000000000e+03,3.287000000000000000e+03,1.303500000000000000e+04
6.146000000000000000e+03,3.329000000000000000e+03,1.302500000000000000e+04
6.203000000000000000e+03,3.255000000000000000e+03,1.304200000000000000e+04
6.215000000000000000e+03,3.296000000000000000e+03,1.298900000000000000e+04
6.233000000000000000e+03,3.313000000000000000e+03,1.295400000000000000e+04
6.128000000000000000e+03,3.385000000000000000e+03,1.298700000000000000e+04
6.070000000000000000e+03,3.422000000000000000e+03,1.300800000000000000e+04
5.916000000000000000e+03,3.471000000000000000e+03,1.311300000000000000e+04
5.838000000000000000e+03,3.435000000000000000e+03,1.322700000000000000e+04
5.797000000000000000e+03,3.474000000000000000e+03,1.322900000000000000e+04
5.728000000000000000e+03,3.377000000000000000e+03,1.339500000000000000e+04
5.765000000000000000e+03,3.343000000000000000e+03,1.339200000000000000e+04
5.823000000000000000e+03,3.297000000000000000e+03,1.338000000000000000e+04
5.904000000000000000e+03,3.238000000000000000e+03,1.335800000000000000e+04
6.006000000000000000e+03,3.157000000000000000e+03,1.333700000000000000e+04
6.027000000000000000e+03,3.146000000000000000e+03,1.332700000000000000e+04
6.134000000000000000e+03,3.119000000000000000e+03,1.324700000000000000e+04
6.160000000000000000e+03,3.171000000000000000e+03,1.316900000000000000e+04
6.195000000000000000e+03,3.220000000000000000e+03,1.308500000000000000e+04
6.099000000000000000e+03,3.266000000000000000e+03,1.313500000000000000e+04
6.062000000000000000e+03,3.343000000000000000e+03,1.309500000000000000e+04
6.140000000000000000e+03,3.260000000000000000e+03,1.310000000000000000e+04
6.192000000000000000e+03,3.262000000000000000e+03,1.304600000000000000e+04
6.160000000000000000e+03,3.228000000000000000e+03,1.311200000000000000e+04
6.072000000000000000e+03,3.280000000000000000e+03,1.314800000000000000e+04
6.064000000000000000e+03,3.301000000000000000e+03,1.313500000000000000e+04
6.035000000000000000e+03,3.274000000000000000e+03,1.319100000000000000e+04
6.023000000000000000e+03,3.317000000000000000e+03,1.316000000000000000e+04
5.942000000000000000e+03,3.285000000000000000e+03,1.327300000000000000e+04
5.961000000000000000e+03,3.226000000000000000e+03,1.331300000000000000e+04
6.009000000000000000e+03,3.266000000000000000e+03,1.322500000000000000e+04
6.059000000000000000e+03,3.237000000000000000e+03,1.320400000000000000e+04
6.062000000000000000e+03,3.255000000000000000e+03,1.318300000000000000e+04
6.098000000000000000e+03,3.234000000000000000e+03,1.316800000000000000e+04
6.102000000000000000e+03,3.175000000000000000e+03,1.322300000000000000e+04
6.118000000000000000e+03,3.178000000000000000e+03,1.320400000000000000e+04
6.237000000000000000e+03,3.174000000000000000e+03,1.308900000000000000e+04
6.254000000000000000e+03,3.214000000000000000e+03,1.303200000000000000e+04
6.270000000000000000e+03,3.259000000000000000e+03,1.297100000000000000e+04
6.176000000000000000e+03,3.337000000000000000e+03,1.298700000000000000e+04
6.121000000000000000e+03,3.353000000000000000e+03,1.302600000000000000e+04
6.027000000000000000e+03,3.359000000000000000e+03,1.311400000000000000e+04
5.999000000000000000e+03,3.373000000000000000e+03,1.312800000000000000e+04
5.982000000000000000e+03,3.440000000000000000e+03,1.307800000000000000e+04
5.953000000000000000e+03,3.405000000000000000e+03,1.314200000000000000e+04
5.918000000000000000e+03,3.387000000000000000e+03,1.319500000000000000e+04
5.908000000000000000e+03,3.321000000000000000e+03,1.327100000000000000e+04
5.918000000000000000e+03,3.378000000000000000e+03,1.320400000000000000e+04
5.911000000000000000e+03,3.290000000000000000e+03,1.329900000000000000e+04
6.009000000000000000e+03,3.236000000000000000e+03,1.325500000000000000e+04
6.053000000000000000e+03,3.258000000000000000e+03,1.318900000000000000e+04
6.103000000000000000e+03,3.273000000000000000e+03,1.312400000000000000e+04
6.124000000000000000e+03,3.259000000000000000e+03,1.311700000000000000e+04
6.187000000000000000e+03,3.233000000000000000e+03,1.308000000000000000e+04
6.182000000000000000e+03,3.284000000000000000e+03,1.303400000000000000e+04
6.155000000000000000e+03,3.309000000000000000e+03,1.303600000000000000e+04
6.153000000000000000e+03,3.271000000000000000e+03,1.307600000000000000e+04
6.170000000000000000e+03,3.221000000000000000e+03,1.310900000000000000e+04
6.102000000000000000e+03,3.248000000000000000e+03,1.315000000000000000e+04
6.126000000000000000e+03,3.310000000000000000e+03,1.306400000000000000e+04
6.109000000000000000e+03,3.288000000000000000e+03,1.310300000000000000e+04
6.161000000000000000e+03,3.260000000000000000e+03,1.307900000000000000e+04
6.081000000000000000e+03,3.346000000000000000e+03,1.307300000000000000e+04
6.132000000000000000e+03,3.266000000000000000e+03,1.310200000000000000e+04
6.114000000000000000e+03,3.256000000000000000e+03,1.313000000000000000e+04
6.122000000000000000e+03,3.282000000000000000e+03,1.309600000000000000e+04
6.093000000000000000e+03,3.356000000000000000e+03,1.305100000000000000e+04
5.999000000000000000e+03,3.388000000000000000e+03,1.311300000000000000e+04
6.055000000000000000e+03,3.310000000000000000e+03,1.313500000000000000e+04
6.093000000000000000e+03,3.225000000000000000e+03,1.318200000000000000e+04
6.184000000000000000e+03,3.227000000000000000e+03,1.308900000000000000e+04
6.241000000000000000e+03,3.253000000000000000e+03,1.300600000000000000e+04
6.277000000000000000e+03,3.250000000000000000e+03,1.297300000000000000e+04
6.284000000000000000e+03,3.211000000000000000e+03,1.300500000000000000e+04
6.238000000000000000e+03,3.246000000000000000e+03,1.301600000000000000e+04
6.165000000000000000e+03,3.276000000000000000e+03,1.305900000000000000e+04
6.110000000000000000e+03,3.363000000000000000e+03,1.302700000000000000e+04
6.061000000000000000e+03,3.332000000000000000e+03,1.310700000000000000e+04
6.158000000000000000e+03,3.314000000000000000e+03,1.302800000000000000e+04
6.188000000000000000e+03,3.266000000000000000e+03,1.304600000000000000e+04
6.160000000000000000e+03,3.217000000000000000e+03,1.312300000000000000e+04
6.173000000000000000e+03,3.170000000000000000e+03,1.315700000000000000e+04
6.208000000000000000e+03,3.152000000000000000e+03,1.314000000000000000e+04
6.278000000000000000e+03,3.165000000000000000e+03,1.305700000000000000e+04
6.397000000000000000e+03,3.082000000000000000e+03,1.302100000000000000e+04
6.424000000000000000e+03,3.099000000000000000e+03,1.297700000000000000e+04
