S,I,R
2.229300000000000000e+04,2.070000000000000000e+02,0.000000000000000000e+00
2.166500000000000000e+04,8.050000000000000000e+02,3.000000000000000000e+01
2.061700000000000000e+04,1.703000000000000000e+03,1.800000000000000000e+02
1.918300000000000000e+04,2.829000000000000000e+03,4.880000000000000000e+02
1.738300000000000000e+04,4.166000000000000000e+03,9.510000000000000000e+02
1.532800000000000000e+04,5.525000000000000000e+03,1.647000000000000000e+03
1.330100000000000000e+04,6.694000000000000000e+03,2.505000000000000000e+03
1.129900000000000000e+04,7.825000000000000000e+03,3.376000000000000000e+03
9.694000000000000000e+03,8.618000000000000000e+03,4.188000000000000000e+03
8.197000000000000000e+03,9.178000000000000000e+03,5.125000000000000000e+03
6.980000000000000000e+03,9.548000000000000000e+03,5.972000000000000000e+03
6.184000000000000000e+03,9.578000000000000000e+03,6.738000000000000000e+03
5.466000000000000000e+03,9.700000000000000000e+03,7.334000000000000000e+03
5.031000000000000000e+03,9.700000000000000000e+03,7.769000000000000000e+03
4.749000000000000000e+03,9.552000000000000000e+03,8.199000000000000000e+03
4.610000000000000000e+03,9.473000000000000000e+03,8.417000000000000000e+03
4.470000000000000000e+03,9.375000000000000000e+03,8.655000000000000000e+03
4.512000000000000000e+03,9.180000000000000000e+03,8.808000000000000000e+03
4.571000000000000000e+03,9.059000000000000000e+03,8.870000000000000000e+03
4.567000000000000000e+03,9.022000000000000000e+03,8.911000000000000000e+03
4.528000000000000000e+03,8.968000000000000000e+03,9.004000000000000000e+03
4.588000000000000000e+03,8.878000000000000000e+03,9.034000000000000000e+03
4.635000000000000000e+03,8.885000000000000000e+03,8.980000000000000000e+03
4.700000000000000000e+03,8.864000000000000000e+03,8.936000000000000000e+03
4.618000000000000000e+03,8.917000000000000000e+03,8.965000000000000000e+03
4.631000000000000000e+03,8.875000000000000000e+03,8.994000000000000000e+03
4.561000000000000000e+03,8.917000000000000000e+03,9.022000000000000000e+03
4.543000000000000000e+03,8.961000000000000000e+03,8.996000000000000000e+03
4.594000000000000000e+03,8.902000000000000000e+03,9.004000000000000000e+03
4.506000000000000000e+03,8.938000000000000000e+03,9.056000000000000000e+03
4.520000000000000000e+03,8.951000000000000000e+03,9.029000000000000000e+03
4.566000000000000000e+03,8.859000000000000000e+03,9.075000000000000000e+03
4.561000000000000000e+03,8.909000000000000000e+03,9.030000000000000000e+03
4.632000000000000000e+03,8.857000000000000000e+03,9.011000000000000000e+03
4.689000000000000000e+03,8.880000000000000000e+03,8.931000000000000000e+03
4.622000000000000000e+03,8.885000000000000000e+03,8.993000000000000000e+03
4.617000000000000000e+03,8.874000000000000000e+03,9.009000000000000000e+03
4.669000000000000000e+03,8.862000000000000000e+03,8.969000000000000000e+03
4.611000000000000000e+03,8.890000000000000000e+03,8.999000000000000000e+03
4.698000000000000000e+03,8.798000000000000000e+03,9.004000000000000000e+03
4.703000000000000000e+03,8.844000000000000000e+03,8.953000000000000000e+03
4.759000000000000000e+03,8.844000000000000000e+03,8.897000000000000000e+03
4.745000000000000000e+03,8.922000000000000000e+03,8.833000000000000000e+03
4.644000000000000000e+03,8.934000000000000000e+03,8.922000000000000000e+03
4.544000000000000000e+03,8.933000000000000000e+03,9.023000000000000000e+03
4.489000000000000000e+03,8.983000000000000000e+03,9.028000000000000000e+03
4.549000000000000000e+03,8.850000000000000000e+03,9.101000000000000000e+03
4.627000000000000000e+03,8.820000000000000000e+03,9.053000000000000000e+03
4.535000000000000000e+03,8.842000000000000000e+03,9.123000000000000000e+03
4.552000000000000000e+03,8.880000000000000000e+03,9.068000000000000000e+03
4.617000000000000000e+03,8.847000000000000000e+03,9.036000000000000000e+03
4.540000000000000000e+03,8.856000000000000000e+03,9.104000000000000000e+03
4.579000000000000000e+03,8.833000000000000000e+03,9.088000000000000000e+03
4.572000000000000000e+03,8.787000000000000000e+03,9.141000000000000000e+03
4.613000000000000000e+03,8.783000000000000000e+03,9.104000000000000000e+03
4.696000000000000000e+03,8.785000000000000000e+03,9.019000000000000000e+03
4.686000000000000000e+03,8.786000000000000000e+03,9.028000000000000000e+03
4.603000000000000000e+03,8.846000000000000000e+03,9.051000000000000000e+03
4.573000000000000000e+03,8.954000000000000000e+03,8.973000000000000000e+03
4.647000000000000000e+03,8.977000000000000000e+03,8.876000000000000000e+03
4.616000000000000000e+03,8.959000000000000000e+03,8.925000000000000000e+03
4.611000000000000000e+03,8.982000000000000000e+03,8.907000000000000000e+03
4.650000000000000000e+03,8.965000000000000000e+03,8.885000000000000000e+03
4.587000000000000000e+03,8.944000000000000000e+03,8.969000000000000000e+03
4.622000000000000000e+03,8.917000000000000000e+03,8.961000000000000000e+03
4.725000000000000000e+03,8.875000000000000000e+03,8.900000000000000000e+03
4.607000000000000000e+03,8.912000000000000000e+03,8.981000000000000000e+03
4.614000000000000000e+03,8.950000000000000000e+03,8.936000000000000000e+03
4.596000000000000000e+03,8.897000000000000000e+03,9.007000000000000000e+03
4.592000000000000000e+03,8.893000000000000000e+03,9.015000000000000000e+03
4.635000000000000000e+03,8.903000000000000000e+03,8.962000000000000000e+03
4.521000000000000000e+03,8.963000000000000000e+03,9.016000000000000000e+03
4.584000000000000000e+03,8.939000000000000000e+03,8.977000000000000000e+03
4.622000000000000000e+03,8.877000000000000000e+03,9.001000000000000000e+03
4.606000000000000000e+03,8.927000000000000000e+03,8.967000000000000000e+03
4.640000000000000000e+03,8.870000000000000000e+03,8.990000000000000000e+03
4.663000000000000000e+03,8.887000000000000000e+03,8.950000000000000000e+03
4.652000000000000000e+03,8.830000000000000000e+03,9.018000000000000000e+03
4.675000000000000000e+03,8.825000000000000000e+03,9.000000000000000000e+03
4.732000000000000000e+03,8.955000000000000000e+03,8.813000000000000000e+03
4.661000000000000000e+03,9.017000000000000000e+03,8.822000000000000000e+03
4.628000000000000000e+03,9.044000000000000000e+03,8.828000000000000000e+03
4.593000000000000000e+03,9.031000000000000000e+03,8.876000000000000000e+03
4.586000000000000000e+03,9.017000000000000000e+03,8.897000000000000000e+03
4.559000000000000000e+03,9.022000000000000000e+03,8.919000000000000000e+03
4.542000000000000000e+03,9.072000000000000000e+03,8.886000000000000000e+03
4.525000000000000000e+03,9.071000000000000000e+03,8.904000000000000000e+03
4.607000000000000000e+03,8.986000000000000000e+03,8.907000000000000000e+03
4.592000000000000000e+03,9.057000000000000000e+03,8.851000000000000000e+03
4.606000000000000000e+03,8.986000000000000000e+03,8.908000000000000000e+03
4.555000000000000000e+03,8.989000000000000000e+03,8.956000000000000000e+03
4.533000000000000000e+03,8.926000000000000000e+03,9.041000000000000000e+03
4.609000000000000000e+03,8.853000000000000000e+03,9.038000000000000000e+03
4.668000000000000000e+03,8.854000000000000000e+03,8.978000000000000000e+03
4.617000000000000000e+03,8.909000000000000000e+03,8.974000000000000000e+03
4.582000000000000000e+03,8.921000000000000000e+03,8.997000000000000000e+03
4.580000000000000000e+03,8.911000000000000000e+03,9.009000000000000000e+03
4.634000000000000000e+03,8.913000000000000000e+03,8.953000000000000000e+03
4.705000000000000000e+03,8.856000000000000000e+03,8.939000000000000000e+03
4.581000000000000000e+03,8.965000000000000000e+03,8.954000000000000000e+03
4.597000000000000000e+03,9.008000000000000000e+03,8.895000000000000000e+03
4.584000000000000000e+03,8.991000000000000000e+03,8.925000000000000000e+03
4.548000000000000000e+03,9.010000000000000000e+03,8.942000000000000000e+03
4.564000000000000000e+03,9.051000000000000000e+03,8.885000000000000000e+03
4.577000000000000000e+03,8.939000000000000000e+03,8.984000000000000000e+03
4.639000000000000000e+03,8.885000000000000000e+03,8.976000000000000000e+03
4.577000000000000000e+03,8.930000000000000000e+03,8.993000000000000000e+03
4.578000000000000000e+03,8.863000000000000000e+03,9.059000000000000000e+03
4.675000000000000000e+03,8.917000000000000000e+03,8.908000000000000000e+03
4.631000000000000000e+03,8.935000000000000000e+03,8.934000000000000000e+03
4.662000000000000000e+03,8.854000000000000000e+03,8.984000000000000000e+03
4.577000000000000000e+03,8.915000000000000000e+03,9.008000000000000000e+03
4.571000000000000000e+03,8.897000000000000000e+03,9.032000000000000000e+03
4.556000000000000000e+03,8.935000000000000000e+03,9.009000000000000000e+03
4.596000000000000000e+03,8.855000000000000000e+03,9.049000000000000000e+03
4.692000000000000000e+03,8.868000000000000000e+03,8.940000000000000000e+03
4.630000000000000000e+03,8.937000000000000000e+03,8.933000000000000000e+03
4.531000000000000000e+03,9.028000000000000000e+03,8.941000000000000000e+03
4.550000000000000000e+03,9.029000000000000000e+03,8.921000000000000000e+03
4.610000000000000000e+03,8.936000000000000000e+03,8.954000000000000000e+03
4.590000000000000000e+03,8.872000000000000000e+03,9.038000000000000000e+03
4.624000000000000000e+03,8.907000000000000000e+03,8.969000000000000000e+03
4.556000000000000000e+03,8.931000000000000000e+03,9.013000000000000000e+03
4.630000000000000000e+03,8.858000000000000000e+03,9.012000000000000000e+03
4.632000000000000000e+03,8.907000000000000000e+03,8.961000000000000000e+03
4.698000000000000000e+03,8.903000000000000000e+03,8.899000000000000000e+03
4.783000000000000000e+03,8.862000000000000000e+03,8.855000000000000000e+03
4.697000000000000000e+03,8.885000000000000000e+03,8.918000000000000000e+03
4.599000000000000000e+03,8.922000000000000000e+03,8.979000000000000000e+03
4.502000000000000000e+03,9.017000000000000000e+03,8.981000000000000000e+03
4.577000000000000000e+03,9.018000000000000000e+03,8.905000000000000000e+03
4.491000000000000000e+03,9.048000000000000000e+03,8.961000000000000000e+03
4.524000000000000000e+03,8.982000000000000000e+03,8.994000000000000000e+03
4.562000000000000000e+03,8.973000000000000000e+03,8.965000000000000000e+03
4.563000000000000000e+03,8.867000000000000000e+03,9.070000000000000000e+03
4.490000000000000000e+03,8.844000000000000000e+03,9.166000000000000000e+03
4.484000000000000000e+03,8.816000000000000000e+03,9.200000000000000000e+03
4.625000000000000000e+03,8.789000000000000000e+03,9.086000000000000000e+03
4.679000000000000000e+03,8.838000000000000000e+03,8.983000000000000000e+03
4.721000000000000000e+03,8.907000000000000000e+03,8.872000000000000000e+03
4.589000000000000000e+03,8.953000000000000000e+03,8.958000000000000000e+03
4.536000000000000000e+03,9.009000000000000000e+03,8.955000000000000000e+03
4.578000000000000000e+03,8.977000000000000000e+03,8.945000000000000000e+03
4.555000000000000000e+03,8.998000000000000000e+03,8.947000000000000000e+03
4.590000000000000000e+03,9.033000000000000000e+03,8.877000000000000000e+03
4.542000000000000000e+03,9.043000000000000000e+03,8.915000000000000000e+03
4.650000000000000000e+03,9.012000000000000000e+03,8.838000000000000000e+03
4.660000000000000000e+03,8.975000000000000000e+03,8.865000000000000000e+03
4.582000000000000000e+03,9.024000000000000000e+03,8.894000000000000000e+03
4.595000000000000000e+03,9.149000000000000000e+03,8.756000000000000000e+03
4.518000000000000000e+03,9.139000000000000000e+03,8.843000000000000000e+03
4.509000000000000000e+03,9.091000000000000000e+03,8.900000000000000000e+03
4.444000000000000000e+03,9.071000000000000000e+03,8.985000000000000000e+03
4.466000000000000000e+03,9.025000000000000000e+03,9.009000000000000000e+03
4.548000000000000000e+03,8.973000000000000000e+03,8.979000000000000000e+03
