S,I,R
2.225500000000000000e+04,2.450000000000000000e+02,0.000000000000000000e+00
2.173600000000000000e+04,7.060000000000000000e+02,5.800000000000000000e+01
2.090400000000000000e+04,1.335000000000000000e+03,2.610000000000000000e+02
1.983900000000000000e+04,2.093000000000000000e+03,5.680000000000000000e+02
1.854000000000000000e+04,2.924000000000000000e+03,1.036000000000000000e+03
1.709500000000000000e+04,3.806000000000000000e+03,1.599000000000000000e+03
1.567700000000000000e+04,4.577000000000000000e+03,2.246000000000000000e+03
1.428900000000000000e+04,5.311000000000000000e+03,2.900000000000000000e+03
1.287300000000000000e+04,5.980000000000000000e+03,3.647000000000000000e+03
1.156400000000000000e+04,6.599000000000000000e+03,4.337000000000000000e+03
1.049500000000000000e+04,6.977000000000000000e+03,5.028000000000000000e+03
9.698000000000000000e+03,7.165000000000000000e+03,5.637000000000000000e+03
9.084000000000000000e+03,7.314000000000000000e+03,6.102000000000000000e+03
8.612000000000000000e+03,7.365000000000000000e+03,6.523000000000000000e+03
8.363000000000000000e+03,7.367000000000000000e+03,6.770000000000000000e+03
8.161000000000000000e+03,7.380000000000000000e+03,6.959000000000000000e+03
8.076000000000000000e+03,7.450000000000000000e+03,6.974000000000000000e+03
7.969000000000000000e+03,7.427000000000000000e+03,7.104000000000000000e+03
7.822000000000000000e+03,7.373000000000000000e+03,7.305000000000000000e+03
7.887000000000000000e+03,7.348000000000000000e+03,7.265000000000000000e+03
7.770000000000000000e+03,7.348000000000000000e+03,7.382000000000000000e+03
7.907000000000000000e+03,7.218000000000000000e+03,7.375000000000000000e+03
7.915000000000000000e+03,7.340000000000000000e+03,7.245000000000000000e+03
7.809000000000000000e+03,7.387000000000000000e+03,7.304000000000000000e+03
7.777000000000000000e+03,7.373000000000000000e+03,7.350000000000000000e+03
7.840000000000000000e+03,7.320000000000000000e+03,7.340000000000000000e+03
7.804000000000000000e+03,7.361000000000000000e+03,7.335000000000000000e+03
7.813000000000000000e+03,7.275000000000000000e+03,7.412000000000000000e+03
7.760000000000000000e+03,7.362000000000000000e+03,7.378000000000000000e+03
7.807000000000000000e+03,7.287000000000000000e+03,7.406000000000000000e+03
7.830000000000000000e+03,7.255000000000000000e+03,7.415000000000000000e+03
7.827000000000000000e+03,7.178000000000000000e+03,7.495000000000000000e+03
7.791000000000000000e+03,7.253000000000000000e+03,7.456000000000000000e+03
7.831000000000000000e+03,7.266000000000000000e+03,7.403000000000000000e+03
7.872000000000000000e+03,7.313000000000000000e+03,7.315000000000000000e+03
7.872000000000000000e+03,7.349000000000000000e+03,7.279000000000000000e+03
7.934000000000000000e+03,7.260000000000000000e+03,7.306000000000000000e+03
7.875000000000000000e+03,7.456000000000000000e+03,7.169000000000000000e+03
7.790000000000000000e+03,7.382000000000000000e+03,7.328000000000000000e+03
7.802000000000000000e+03,7.311000000000000000e+03,7.387000000000000000e+03
7.938000000000000000e+03,7.240000000000000000e+03,7.322000000000000000e+03
7.943000000000000000e+03,7.308000000000000000e+03,7.249000000000000000e+03
7.894000000000000000e+03,7.343000000000000000e+03,7.263000000000000000e+03
7.861000000000000000e+03,7.389000000000000000e+03,7.250000000000000000e+03
7.811000000000000000e+03,7.410000000000000000e+03,7.279000000000000000e+03
7.813000000000000000e+03,7.390000000000000000e+03,7.297000000000000000e+03
7.862000000000000000e+03,7.303000000000000000e+03,7.335000000000000000e+03
7.813000000000000000e+03,7.310000000000000000e+03,7.377000000000000000e+03
7.889000000000000000e+03,7.258000000000000000e+03,7.353000000000000000e+03
7.909000000000000000e+03,7.362000000000000000e+03,7.229000000000000000e+03
7.858000000000000000e+03,7.330000000000000000e+03,7.312000000000000000e+03
7.927000000000000000e+03,7.348000000000000000e+03,7.225000000000000000e+03
7.930000000000000000e+03,7.342000000000000000e+03,7.228000000000000000e+03
7.894000000000000000e+03,7.350000000000000000e+03,7.256000000000000000e+03
7.866000000000000000e+03,7.373000000000000000e+03,7.261000000000000000e+03
7.802000000000000000e+03,7.382000000000000000e+03,7.316000000000000000e+03
7.745000000000000000e+03,7.400000000000000000e+03,7.355000000000000000e+03
7.714000000000000000e+03,7.372000000000000000e+03,7.414000000000000000e+03
7.779000000000000000e+03,7.403000000000000000e+03,7.318000000000000000e+03
7.819000000000000000e+03,7.372000000000000000e+03,7.309000000000000000e+03
7.851000000000000000e+03,7.266000000000000000e+03,7.383000000000000000e+03
7.797000000000000000e+03,7.365000000000000000e+03,7.338000000000000000e+03
7.819000000000000000e+03,7.350000000000000000e+03,7.331000000000000000e+03
7.828000000000000000e+03,7.316000000000000000e+03,7.356000000000000000e+03
7.838000000000000000e+03,7.353000000000000000e+03,7.309000000000000000e+03
7.814000000000000000e+03,7.365000000000000000e+03,7.321000000000000000e+03
7.794000000000000000e+03,7.309000000000000000e+03,7.397000000000000000e+03
7.772000000000000000e+03,7.275000000000000000e+03,7.453000000000000000e+03
7.755000000000000000e+03,7.362000000000000000e+03,7.383000000000000000e+03
7.796000000000000000e+03,7.308000000000000000e+03,7.396000000000000000e+03
7.853000000000000000e+03,7.341000000000000000e+03,7.306000000000000000e+03
7.756000000000000000e+03,7.429000000000000000e+03,7.315000000000000000e+03
7.702000000000000000e+03,7.392000000000000000e+03,7.406000000000000000e+03
7.760000000000000000e+03,7.335000000000000000e+03,7.405000000000000000e+03
7.859000000000000000e+03,7.330000000000000000e+03,7.311000000000000000e+03
7.872000000000000000e+03,7.320000000000000000e+03,7.308000000000000000e+03
7.811000000000000000e+03,7.421000000000000000e+03,7.268000000000000000e+03
7.732000000000000000e+03,7.374000000000000000e+03,7.394000000000000000e+03
7.774000000000000000e+03,7.347000000000000000e+03,7.379000000000000000e+03
7.745000000000000000e+03,7.455000000000000000e+03,7.300000000000000000e+03
7.734000000000000000e+03,7.380000000000000000e+03,7.386000000000000000e+03
7.799000000000000000e+03,7.262000000000000000e+03,7.439000000000000000e+03
7.862000000000000000e+03,7.251000000000000000e+03,7.387000000000000000e+03
7.744000000000000000e+03,7.379000000000000000e+03,7.377000000000000000e+03
7.773000000000000000e+03,7.248000000000000000e+03,7.479000000000000000e+03
7.775000000000000000e+03,7.287000000000000000e+03,7.438000000000000000e+03
7.804000000000000000e+03,7.286000000000000000e+03,7.410000000000000000e+03
7.830000000000000000e+03,7.318000000000000000e+03,7.352000000000000000e+03
7.803000000000000000e+03,7.303000000000000000e+03,7.394000000000000000e+03
7.832000000000000000e+03,7.276000000000000000e+03,7.392000000000000000e+03
7.935000000000000000e+03,7.278000000000000000e+03,7.287000000000000000e+03
7.902000000000000000e+03,7.402000000000000000e+03,7.196000000000000000e+03
7.823000000000000000e+03,7.358000000000000000e+03,7.319000000000000000e+03
7.800000000000000000e+03,7.328000000000000000e+03,7.372000000000000000e+03
7.829000000000000000e+03,7.311000000000000000e+03,7.360000000000000000e+03
7.824000000000000000e+03,7.384000000000000000e+03,7.292000000000000000e+03
7.760000000000000000e+03,7.357000000000000000e+03,7.383000000000000000e+03
7.850000000000000000e+03,7.358000000000000000e+03,7.292000000000000000e+03
7.801000000000000000e+03,7.421000000000000000e+03,7.278000000000000000e+03
7.761000000000000000e+03,7.353000000000000000e+03,7.386000000000000000e+03
7.796000000000000000e+03,7.321000000000000000e+03,7.383000000000000000e+03
7.870000000000000000e+03,7.264000000000000000e+03,7.366000000000000000e+03
7.929000000000000000e+03,7.199000000000000000e+03,7.372000000000000000e+03
7.898000000000000000e+03,7.283000000000000000e+03,7.319000000000000000e+03
7.824000000000000000e+03,7.289000000000000000e+03,7.387000000000000000e+03
7.779000000000000000e+03,7.248000000000000000e+03,7.473000000000000000e+03
7.809000000000000000e+03,7.340000000000000000e+03,7.351000000000000000e+03
7.805000000000000000e+03,7.278000000000000000e+03,7.417000000000000000e+03
7.854000000000000000e+03,7.275000000000000000e+03,7.371000000000000000e+03
7.827000000000000000e+03,7.308000000000000000e+03,7.365000000000000000e+03
7.883000000000000000e+03,7.266000000000000000e+03,7.351000000000000000e+03
7.946000000000000000e+03,7.217000000000000000e+03,7.337000000000000000e+03
7.837000000000000000e+03,7.346000000000000000e+03,7.317000000000000000e+03
7.855000000000000000e+03,7.305000000000000000e+03,7.340000000000000000e+03
7.763000000000000000e+03,7.389000000000000000e+03,7.348000000000000000e+03
7.802000000000000000e+03,7.350000000000000000e+03,7.348000000000000000e+03
7.789000000000000000e+03,7.318000000000000000e+03,7.393000000000000000e+03
7.840000000000000000e+03,7.291000000000000000e+03,7.369000000000000000e+03
7.828000000000000000e+03,7.200000000000000000e+03,7.472000000000000000e+03
7.855000000000000000e+03,7.192000000000000000e+03,7.453000000000000000e+03
7.955000000000000000e+03,7.164000000000000000e+03,7.381000000000000000e+03
7.901000000000000000e+03,7.267000000000000000e+03,7.332000000000000000e+03
7.887000000000000000e+03,7.302000000000000000e+03,7.311000000000000000e+03
7.893000000000000000e+03,7.340000000000000000e+03,7.267000000000000000e+03
7.860000000000000000e+03,7.422000000000000000e+03,7.218000000000000000e+03
7.926000000000000000e+03,7.360000000000000000e+03,7.214000000000000000e+03
7.905000000000000000e+03,7.310000000000000000e+03,7.285000000000000000e+03
7.875000000000000000e+03,7.279000000000000000e+03,7.346000000000000000e+03
7.923000000000000000e+03,7.189000000000000000e+03,7.388000000000000000e+03
7.876000000000000000e+03,7.336000000000000000e+03,7.288000000000000000e+03
7.949000000000000000e+03,7.303000000000000000e+03,7.248000000000000000e+03
7.886000000000000000e+03,7.332000000000000000e+03,7.282000000000000000e+03
7.910000000000000000e+03,7.390000000000000000e+03,7.200000000000000000e+03
7.734000000000000000e+03,7.393000000000000000e+03,7.373000000000000000e+03
7.748000000000000000e+03,7.380000000000000000e+03,7.372000000000000000e+03
7.876000000000000000e+03,7.433000000000000000e+03,7.191000000000000000e+03
7.902000000000000000e+03,7.387000000000000000e+03,7.211000000000000000e+03
7.762000000000000000e+03,7.556000000000000000e+03,7.182000000000000000e+03
7.637000000000000000e+03,7.432000000000000000e+03,7.431000000000000000e+03
7.723000000000000000e+03,7.286000000000000000e+03,7.491000000000000000e+03
7.755000000000000000e+03,7.292000000000000000e+03,7.453000000000000000e+03
7.839000000000000000e+03,7.250000000000000000e+03,7.411000000000000000e+03
7.796000000000000000e+03,7.251000000000000000e+03,7.453000000000000000e+03
7.817000000000000000e+03,7.275000000000000000e+03,7.408000000000000000e+03
7.894000000000000000e+03,7.278000000000000000e+03,7.328000000000000000e+03
7.818000000000000000e+03,7.408000000000000000e+03,7.274000000000000000e+03
7.718000000000000000e+03,7.449000000000000000e+03,7.333000000000000000e+03
7.810000000000000000e+03,7.345000000000000000e+03,7.345000000000000000e+03
7.768000000000000000e+03,7.329000000000000000e+03,7.403000000000000000e+03
7.805000000000000000e+03,7.305000000000000000e+03,7.390000000000000000e+03
7.854000000000000000e+03,7.298000000000000000e+03,7.348000000000000000e+03
7.923000000000000000e+03,7.180000000000000000e+03,7.397000000000000000e+03
7.889000000000000000e+03,7.297000000000000000e+03,7.314000000000000000e+03
7.893000000000000000e+03,7.383000000000000000e+03,7.224000000000000000e+03
7.832000000000000000e+03,7.395000000000000000e+03,7.273000000000000000e+03
7.774000000000000000e+03,7.418000000000000000e+03,7.308000000000000000e+03
7.742000000000000000e+03,7.436000000000000000e+03,7.322000000000000000e+03
7.749000000000000000e+03,7.377000000000000000e+03,7.374000000000000000e+03
7.755000000000000000e+03,7.398000000000000000e+03,7.347000000000000000e+03
7.738000000000000000e+03,7.325000000000000000e+03,7.437000000000000000e+03
7.737000000000000000e+03,7.338000000000000000e+03,7.425000000000000000e+03
7.733000000000000000e+03,7.329000000000000000e+03,7.438000000000000000e+03
7.845000000000000000e+03,7.259000000000000000e+03,7.396000000000000000e+03
7.830000000000000000e+03,7.224000000000000000e+03,7.446000000000000000e+03
7.933000000000000000e+03,7.227000000000000000e+03,7.340000000000000000e+03
7.922000000000000000e+03,7.208000000000000000e+03,7.370000000000000000e+03
7.851000000000000000e+03,7.263000000000000000e+03,7.386000000000000000e+03
7.842000000000000000e+03,7.302000000000000000e+03,7.356000000000000000e+03
7.842000000000000000e+03,7.237000000000000000e+03,7.421000000000000000e+03
7.867000000000000000e+03,7.200000000000000000e+03,7.433000000000000000e+03
7.899000000000000000e+03,7.260000000000000000e+03,7.341000000000000000e+03
7.888000000000000000e+03,7.240000000000000000e+03,7.372000000000000000e+03
7.925000000000000000e+03,7.238000000000000000e+03,7.337000000000000000e+03
7.961000000000000000e+03,7.272000000000000000e+03,7.267000000000000000e+03
7.957000000000000000e+03,7.284000000000000000e+03,7.259000000000000000e+03
7.906000000000000000e+03,7.335000000000000000e+03,7.259000000000000000e+03
7.779000000000000000e+03,7.423000000000000000e+03,7.298000000000000000e+03
7.798000000000000000e+03,7.317000000000000000e+03,7.385000000000000000e+03
7.855000000000000000e+03,7.401000000000000000e+03,7.244000000000000000e+03
7.846000000000000000e+03,7.342000000000000000e+03,7.312000000000000000e+03
7.789000000000000000e+03,7.336000000000000000e+03,7.375000000000000000e+03
7.784000000000000000e+03,7.321000000000000000e+03,7.395000000000000000e+03
7.909000000000000000e+03,7.268000000000000000e+03,7.323000000000000000e+03
7.894000000000000000e+03,7.349000000000000000e+03,7.257000000000000000e+03
7.831000000000000000e+03,7.411000000000000000e+03,7.258000000000000000e+03
7.890000000000000000e+03,7.404000000000000000e+03,7.206000000000000000e+03
7.870000000000000000e+03,7.310000000000000000e+03,7.320000000000000000e+03
7.826000000000000000e+03,7.418000000000000000e+03,7.256000000000000000e+03
7.859000000000000000e+03,7.383000000000000000e+03,7.258000000000000000e+03
7.752000000000000000e+03,7.415000000000000000e+03,7.333000000000000000e+03
7.693000000000000000e+03,7.340000000000000000e+03,7.467000000000000000e+03
7.797000000000000000e+03,7.209000000000000000e+03,7.494000000000000000e+03
7.829000000000000000e+03,7.273000000000000000e+03,7.398000000000000000e+03
7.842000000000000000e+03,7.273000000000000000e+03,7.385000000000000000e+03
7.820000000000000000e+03,7.235000000000000000e+03,7.445000000000000000e+03
7.848000000000000000e+03,7.243000000000000000e+03,7.409000000000000000e+03
7.912000000000000000e+03,7.222000000000000000e+03,7.366000000000000000e+03
7.918000000000000000e+03,7.200000000000000000e+03,7.382000000000000000e+03
7.906000000000000000e+03,7.306000000000000000e+03,7.288000000000000000e+03
7.923000000000000000e+03,7.345000000000000000e+03,7.232000000000000000e+03
7.894000000000000000e+03,7.362000000000000000e+03,7.244000000000000000e+03
